pH_batch,date.x,Tank,ParentTrt,mV_1,mV_2,mV_3,mV_mean,salinity_1.x,salinity_2.x,salinity_3.x,sal_mean,pH_meas,NBScorr,pHNBS,TotalCorr,pHTotal,salinity_batch,salinity,temperature,Exposure_vals,Block,bottle_sample,bottle_ID_AUTO,rundate_DDMMMYYYY,Ries_ID_AUTO,Actual_Ries_ID,Recalculated,Flag,UseForCalcite,mV,VindtaTemp,DIC_raw,DIC_corr,DIC_fromAlk,Alk_raw,Alk_corr,pCO2_ATDIC,HCO3_ATDIC,CO3_ATDIC,CO2_ATDIC,SatCalcite_ATDIC,SatArag_ATDIC,salinity_1.y,salinity_2.y,salinity_3.y,salinity_avg,crm,crm_salinity,salinity_corr,ph7_1,ph7_2,ph7_3,pH7_avg,ph10_1,ph10_2,ph10_3,pH10_avg,slope,intercept
1,20180608,17,400,-82,-83,-83,-82.66666667,22.1,22,22,22.03333333,7.817142857,0.1511928,7.968335657,-0.129054855,7.839280802,1,21.912,20,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,28,Acclimation,39,39,39,39,21.2,21.3,21.2,21.23333333,5.731428571,0.1456728,5.877101371,-0.129054855,5.748046516,1,21.112,NA,ACCLIMATION,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,26,Acclimation,-3,-2,-1,-2,21.1,21,21,21.03333333,6.434285714,0.1442928,6.578578514,-0.129054855,6.449523659,1,20.912,NA,ACCLIMATION,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,22,400,-86,-86,-86,-86,22.1,22.1,22,22.06666667,7.874285714,0.1511928,8.025478514,-0.129054855,7.896423659,1,21.912,20.5,TEST,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,16,400,-82,-82,-82,-82,22,22,22,22,7.805714286,0.1511928,7.956907086,-0.129054855,7.827852231,1,21.912,20,TEST,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,14,2600,-39,-39,-39,-39,22,22,22,22,7.068571429,0.1511928,7.219764229,-0.129054855,7.090709374,1,21.912,19.4,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,headtankTest,Test,210,210,210,210,NA,NA,NA,NA,2.8,NA,NA,-0.129054855,NA,NA,NA,NA,TEST,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,1,2600,-40,-40,-40,-40,NA,NA,NA,NA,7.085714286,NA,NA,NA,NA,NA,NA,NA,TEST,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,6,400,-85,-85,-85,-85,22.1,22,21.9,22,7.857142857,0.1505028,8.007645657,-0.129054855,7.878590802,1,21.812,19.8,TEST,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,18,400,-82,-82,-82,-82,22,21.9,21.9,21.93333333,7.805714286,0.1505028,7.956217086,-0.129054855,7.827162231,1,21.812,20.3,TEST,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,27,Acclimation,0,3,4,2.333333333,21.1,21,20.9,21,6.36,0.1436028,6.5036028,-0.129054855,6.374547945,1,20.812,NA,ACCLIMATION,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,25,Acclimation,-8,-7,-7,-7.333333333,21,21,20.9,20.96666667,6.525714286,0.1436028,6.669317086,-0.129054855,6.540262231,1,20.812,NA,ACCLIMATION,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,15,2600,-39,-39,-39,-39,22.2,22.2,22.2,22.2,7.068571429,0.1525728,7.221144229,-0.129054855,7.092089374,1,22.112,19.5,TEST,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
1,20180608,20,2600,-35,-35,-35,-35,21.4,21.4,21.3,21.36666667,7,0.1463628,7.1463628,-0.129054855,7.017307945,1,21.212,20.6,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
