batch,date,salinity_1,salinity_2,salinity_3,salinity_avg,crm,crm_salinity,salinity_corr,ph7_1,ph7_2,ph7_3,pH7_avg,ph10_1,ph10_2,ph10_3,pH10_avg,slope,intercept
1,20180608,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
2,20180609,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
3,20180610,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
4,20180611,33.4,33.4,33.4,33.4,162,33.312,-0.088,-35,-35,-35,-35,-210,-210,-210,-210,-0.017142857,6.4
5,20180621,33,33.1,33,33.03333333,162,33.312,0.278666667,-31,-30,-30,-30.33333333,-208,-207,-207,-207.3333333,-0.016949153,6.485875706
6,20180613,33.3,33.3,33.4,33.33333333,162,33.312,-0.021333333,-35,-35,-35,-35,-209,-209,-209,-209,-0.017241379,6.396551724
7,20180615,33.2,33.2,33.3,33.23333333,162,33.312,0.078666667,-34,-34,-34,-34,-209,-208,-208,-208.3333333,-0.017208413,6.414913958
8,20180618,33.2,33.2,33.2,33.2,162,33.312,0.112,-33,-32,-32,-32.33333333,-204,-204,-205,-204.3333333,-0.01744186,6.436046512
9,20180617,33.3,33.4,33.4,33.36666667,162,33.312,-0.054666667,-35,-35,-35,-35,-209,-209,-209,-209,-0.017241379,6.396551724
10,20180622,33.1,33.1,33.1,33.1,162,33.312,0.212,-33,-33,-35,-33.66666667,-206,-207,-207,-206.6666667,-0.01734104,6.416184971
11,20180620,33.3,33.2,33.3,33.26666667,162,33.312,0.045333333,-32,-32,-32,-32,-204,-204,-204,-204,-0.01744186,6.441860465
12,20180703,33.4,33.5,33.5,33.46666667,162,33.312,-0.154666667,-33,-33,-32,-32.66666667,-205,-205,-205,-205,-0.017408124,6.431334623
13,20180625,33.5,33.5,33.5,33.5,162,33.312,-0.188,-33,-32,-32,-32.33333333,-206,-205,-205,-205.3333333,-0.01734104,6.439306358
14,20180626,33.6,33.5,33.5,33.53333333,162,33.312,-0.221333333,-36,-37,-36,-36.33333333,-209,-210,-210,-209.6666667,-0.017307692,6.371153846
15,20180627,33.6,33.6,33.6,33.6,162,33.312,-0.288,-34,-34,-34,-34,-207,-208,-207,-207.3333333,-0.017307692,6.411538462
16,20180629,33.4,33.5,33.5,33.46666667,162,33.312,-0.154666667,-36,-36,-36,-36,-210,-210,-210,-210,-0.017241379,6.379310345
17,20180701,33.5,33.5,33.5,33.5,162,33.312,-0.188,-36,-36,-36,-36,-210,-210,-210,-210,-0.017241379,6.379310345
18,20180705,33.5,33.5,33.5,33.5,162,33.312,-0.188,-36,-36,-36,-36,-213,-213,-212,-212.6666667,-0.016981132,6.388679245
19,20180709,33.4,33.4,33.4,33.4,162,33.312,-0.088,-23,-26,-26,-25,-214,-213,-214,-213.6666667,-0.01590106,6.602473498
20,20180711,33.5,33.6,33.7,33.6,162,33.312,-0.288,-36,-36,-35,-35.66666667,-208,-208,-209,-208.3333333,-0.017374517,6.38030888
21,20180713,33.2,33.3,33.3,33.26666667,162,33.312,0.045333333,-36,-36,-36,-36,-208,-208,-209,-208.3333333,-0.017408124,6.373307544
22,20180716,33.4,33.4,33.4,33.4,162,33.312,-0.088,-34,-34,-34,-34,-209,-208,-208,-208.3333333,-0.017208413,6.414913958
23,20180717,NA,NA,NA,NA,NA,NA,NA,-36,-36,-36,-36,-208,-208,-209,-208.3333333,-0.017408124,6.373307544
24,20180718,33.6,33.6,33.6,33.6,162,33.312,-0.288,-39,-40,-39,-39.33333333,-216,-215,-216,-215.6666667,-0.017013233,6.330812854
25,20180720,33.5,33.5,33.5,33.5,162,33.312,-0.188,-34,-34,-34,-34,-206,-206,-206,-206,-0.01744186,6.406976744
26,20180723,33.6,33.5,33.5,33.53333333,162,33.312,-0.221333333,-41,-39,-39,-39.66666667,-211,-213,-213,-212.3333333,-0.017374517,6.310810811
27,20180725,33.3,33.3,33.3,33.3,162,33.312,0.012,-35,-36,-35,-35.33333333,-208,-209,-208,-208.3333333,-0.01734104,6.387283237
28,20180727,33.3,33.3,33.3,33.3,162,33.312,0.012,-39,-39,-39,-39,-216,-216,-216,-216,-0.016949153,6.338983051
29,20180728,33.3,33.3,33.3,33.3,162,33.312,0.012,-36,-36,-36,-36,-209,-209,-209,-209,-0.01734104,6.375722543
30,20180730,33.3,33.3,33.3,33.3,162,33.312,0.012,-37,-38,-38,-37.66666667,-211,-211,-211,-211,-0.017307692,6.348076923
31,20180801,33.3,33.3,33.3,33.3,162,33.312,0.012,-37,-37,-37,-37,-213,-212,-212,-212.3333333,-0.017110266,6.366920152
32,20180803,33.2,33.2,33.2,33.2,162,33.312,0.112,-37,-37,-37,-37,-208,-209,-209,-208.6666667,-0.017475728,6.353398058
33,20180806,33.2,33.2,33.2,33.2,162,33.312,0.112,-36,-36,-36,-36,-205,-206,-206,-205.6666667,-0.017681729,6.36345776
