CondLogSN,Site,LogIntMin,DateTimeGMT,uScm,TempC
20371009,BARN,30,2018-06-05 12:00:00,33425.5,16.58
20371009,BARN,30,2018-06-05 12:30:00,35009.6,16.46
20371009,BARN,30,2018-06-05 13:00:00,35490,16.13
20371009,BARN,30,2018-06-05 13:30:00,36490.7,16.43
20371009,BARN,30,2018-06-05 14:00:00,36901.9,16.19
20371009,BARN,30,2018-06-05 14:30:00,37464.4,16.19
20371009,BARN,30,2018-06-05 15:00:00,37734.5,16.5
20371009,BARN,30,2018-06-05 15:30:00,37698,16.05
20371009,BARN,30,2018-06-05 16:00:00,37799.4,15.56
20371009,BARN,30,2018-06-05 16:30:00,37448.4,15.21
20371009,BARN,30,2018-06-05 17:00:00,37424.4,15.04
20371009,BARN,30,2018-06-05 17:30:00,37304.6,14.92
20371009,BARN,30,2018-06-05 18:00:00,37738.5,14.93
20371009,BARN,30,2018-06-05 18:30:00,37677.8,14.77
20371009,BARN,30,2018-06-05 19:00:00,37726.4,14.92
20371009,BARN,30,2018-06-05 19:30:00,37681.9,14.72
20371009,BARN,30,2018-06-05 20:00:00,37564.8,14.61
20371009,BARN,30,2018-06-05 20:30:00,37245,15.27
20371009,BARN,30,2018-06-05 21:00:00,37280.8,16.24
20371009,BARN,30,2018-06-05 21:30:00,37340.5,16.51
20371009,BARN,30,2018-06-05 22:00:00,37141.9,16.79
20371009,BARN,30,2018-06-05 22:30:00,36579.3,17
20371009,BARN,30,2018-06-05 23:00:00,36079,17.21
20371009,BARN,30,2018-06-05 23:30:00,35808.7,17.14
20371009,BARN,30,2018-06-06 00:00:00,35805,16.91
20371009,BARN,30,2018-06-06 00:30:00,35876,16.84
20371009,BARN,30,2018-06-06 01:00:00,36169.9,16.55
20371009,BARN,30,2018-06-06 01:30:00,36337.3,16.35
20371009,BARN,30,2018-06-06 02:00:00,36367.9,16.12
20371009,BARN,30,2018-06-06 02:30:00,36242,15.91
20371009,BARN,30,2018-06-06 03:00:00,36303,15.78
20371009,BARN,30,2018-06-06 03:30:00,36238.2,15.63
20371009,BARN,30,2018-06-06 04:00:00,36291.5,15.41
20371009,BARN,30,2018-06-06 04:30:00,36166.1,15.03
