BottleID,SampleID,DateTimeGMT,SampType,TempMean,SalCorr
L18_F_20180605_51_21Jun2018,BARN_20180605_S1,NA,Single,NA,30.02400333
L18_F_20180605_52_21Jun2018,BARN_20180605_S2,NA,Single,NA,32.52719
L18_F_20180605_BarnS3_12Jul18,BARN_20180605_S3,NA,Single,NA,25.62916
L18_F_20180618_51-21Jun2018,BARN_20180618_S1,2018-06-18 15:20:00,Single,22.2,29.39886
L18_F_20180618_52_21Jun2018,BARN_20180618_S2,2018-06-18 15:20:00,Single,22.2,29.39886
L18_F_20180618_BARN_03_08Mar19,BARN_20180618_S3,2018-06-18 15:20:00,Single,22.2,29.39886
L18_F_20180701_Barn_09_04Mar19,BARN_20180701_S9,NA,Single,NA,28.02806
L18_F_20180702_S1_25Jun19,BARN_20180702_S1,NA,Single,NA,26.50684
L18_F_20180702_S2_25Jun19,BARN_20180702_S2,NA,Single,NA,26.50684
L18_F_20180702_S1_BARN,BARN_20180702_S1,NA,Single,NA,26.1952
L18_F_20180706_S2_BARN,BARN_20180706_S2,NA,Single,NA,26.69153
,BARN_20180710_S1,NA,Single,NA,
L18_F_20180716_BARN_S1_25Jun19,BARN_20180716_S1,NA,Single,NA,28.58444
L18_F_20180716_BARN_S2_25Jun19,BARN_20180716_S2,NA,Single,NA,28.37668
L18_F_20180716_BARN_S3_25Jun19,BARN_20180716_S3,NA,Single,NA,28.58444
L18_F_20180801_S1_BARN,BARN_20180801_S1,NA,Single,NA,28.88481
L18_F_20180811_BARN_830am_08Mar19,BARN_20180811_T0830,NA,Single,NA,22.30497
L18_F_20180828_31May19,BARN_20180828_,2018-08-28 13:15:00,Single,24.7,29.15897
L18_F_20180927_BARN_12Mar19,BARN_20180927_T0800,NA,Single,NA,26.45164
,BARN_20180928_,2018-09-28 12:40:00,Single,25.3,
Barnstable_11-11-2018_830am,BARN_20181111_830am,2018-11-11 13:30:00,TwoHour,NA,22.54486
,BARN_20181111_,2018-11-11 14:10:00,TwoHour,13.1,
BARN_02_07-01-19_17Jul19,BARN_02_07-01-19,2019-07-01 15:40:00,Tidal,22.3,29.23352333
BARN_03_07-01-19_17Jul19,BARN_03_07-01-19,2019-07-01 15:40:00,Tidal,22.3,28.87122
BARN_04_07-01-19_17Jul19,BARN_04_07-01-19,2019-07-01 16:46:00,Tidal,22.4,29.00296667
BARN_05_07-01-19_17Jul19,BARN_05_07-01-19,2019-07-01 16:46:00,Tidal,22.4,28.97003
BARN_06_07-01-19_17Jul19,BARN_06_07-01-19,2019-07-01 17:44:00,Tidal,23.1,28.90415667
BARN_07_07-01-19_17Jul19,BARN_07_07-01-19,2019-07-01 17:44:00,Tidal,23.1,29.16765
BARN_08_07-01-19_17Jul19,BARN_08_07-01-19,2019-07-01 18:40:00,Tidal,24,26.89502
BARN_09_07-01-19_17Jul19,BARN_09_07-01-19,2019-07-01 18:40:00,Tidal,24,24.91882
BARN_10_07-01-19_17Jul19,BARN_10_07-01-19,2019-07-01 19:43:00,Tidal,24.3,24.68826333
BARN_11_07-01-19_17Jul19,BARN_11_07-01-19,2019-07-01 19:43:00,Tidal,24.3,26.00573
BARN_12_07-01-19_17Jul19,BARN_12_07-01-19,2019-07-01 20:38:00,Tidal,25.1,26.96089333
BARN_13_07-01-19_17Jul19,BARN_13_07-01-19,2019-07-01 20:38:00,Tidal,25.1,27.02676667
BARN_02_07-21-19_29Jul19,BARN_02_07-21-19,2019-07-21 13:45:00,Single,27.2,27.25732333
BARN_01_07-21-19_29Jul19,BARN_01_07-21-19,2019-07-21 13:45:00,Single,27.2,27.32319667
BARN_02_08-04-19_17Mar20,BARN_02_08-04-19,2019-08-04 12:57:00,Single,25.1,27.46879667
BARN_01_08-04-19_06Jul20,BARN_01_08-04-19,2019-08-04 12:57:00,Single,25.1,28.24301719
BARN_01_08-19-19_06Jul20,BARN_01_08-19-19,2019-08-19 13:21:00,Tidal,25.5,28.14662464
BARN_02_08-19-19_06Jul20,BARN_02_08-19-19,2019-08-19 13:21:00,Tidal,25.5,28.17875549
BARN_03_08-19-19_06Jul20,BARN_03_08-19-19,2019-08-19 14:15:00,Tidal,26.6,28.27514804
BARN_04_08-19-19_06Jul20,BARN_04_08-19-19,2019-08-19 14:15:00,Tidal,26.6,28.40367144
BARN_06_08-19-19_17Mar20,BARN_06_08-19-19,2019-08-19 15:15:00,Tidal,27.6,28.28871333
BARN_05_08-19-19_06Jul20,BARN_05_08-19-19,2019-08-19 15:15:00,Tidal,27.6,28.14662464
BARN_08_08-19-19_16Mar20,BARN_08_08-19-19,2019-08-19 16:14:00,Tidal,27.8,29.29939667
BARN_07_08-19-19_06Jul20,BARN_07_08-19-19,2019-08-19 16:14:00,Tidal,27.8,29.27120439
BARN_10_08-19-19_16Mar20,BARN_10_08-19-19,2019-08-19 17:15:00,Tidal,26.5,29.79344667
BARN_09_08-19-19_06Jul20,BARN_09_08-19-19,2019-08-19 17:15:00,Tidal,26.5,29.75316714
BARN_12_08-19-19_16Mar20,BARN_12_08-19-19,2019-08-19 18:15:00,Tidal,26.1,30.12281333
BARN_11_08-19-19_06Jul20,BARN_11_08-19-19,2019-08-19 18:15:00,Tidal,26.1,30.20299904
