pHLogSN,Site,LogIntMin,DateTimeGMT,TempF,mV,pH,CalibpH,Buffer,CuOn
20430933,BARN,0.016,2019-09-03 12:00:00,70.95,-52.30,7.61,,,N
20430933,BARN,0.016,2019-09-03 12:00:01,70.95,-53.55,7.64,,,N
20430933,BARN,0.016,2019-09-03 12:00:02,70.95,-54.33,7.65,,,N
20430933,BARN,0.016,2019-09-03 12:00:03,70.95,-54.89,7.66,,,N
20430933,BARN,0.016,2019-09-03 12:00:04,70.95,-55.33,7.67,,,N
20430933,BARN,0.016,2019-09-03 12:00:05,70.95,-55.69,7.67,,,N
20430933,BARN,0.016,2019-09-03 12:00:06,70.95,-55.97,7.68,,,N
20430933,BARN,0.016,2019-09-03 12:00:07,70.95,-56.20,7.68,,,N
20430933,BARN,0.016,2019-09-03 12:00:08,70.95,-56.41,7.69,,,N
20430933,BARN,0.016,2019-09-03 12:00:09,70.95,-56.58,7.69,,,N
20430933,BARN,0.016,2019-09-03 12:00:10,70.95,-56.72,7.69,,,N
20430933,BARN,0.016,2019-09-03 12:00:11,70.95,-56.83,7.70,,,N
20430933,BARN,0.016,2019-09-03 12:00:12,70.95,-56.94,7.70,,,N
20430933,BARN,0.016,2019-09-03 12:00:13,70.95,-57.02,7.70,,,N
20430933,BARN,0.016,2019-09-03 12:00:14,70.95,-57.11,7.70,,,N
20430933,BARN,0.016,2019-09-03 12:00:15,70.95,-57.17,7.70,,,N
20430933,BARN,0.016,2019-09-03 12:00:16,70.95,-57.24,7.70,,,N
20430933,BARN,0.016,2019-09-03 12:00:17,70.95,-57.27,7.70,,,N
20430933,BARN,0.016,2019-09-03 12:00:18,70.95,-57.33,7.70,,,N
20430933,BARN,0.016,2019-09-03 12:00:19,70.95,-57.36,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:20,70.95,-57.39,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:21,70.95,-57.42,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:22,70.95,-57.45,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:23,70.95,-57.49,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:24,70.95,-57.50,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:25,70.95,-57.52,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:26,70.95,-57.55,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:27,70.95,-57.56,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:28,70.95,-57.56,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:29,70.95,-57.58,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:30,70.95,-57.60,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:31,70.95,-57.61,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:32,70.95,-57.63,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:33,70.95,-57.63,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:34,70.95,-57.64,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:35,70.95,-57.66,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:36,70.95,-57.66,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:37,70.95,-57.67,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:38,70.95,-57.67,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:39,70.95,-57.69,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:40,70.95,-57.69,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:41,70.95,-57.70,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:42,70.95,-57.70,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:43,70.95,-57.72,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:44,70.99,-57.72,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:45,70.99,-57.72,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:46,70.99,-57.72,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:47,70.99,-57.74,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:48,70.99,-57.74,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:49,70.99,-57.75,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:50,70.99,-57.75,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:51,70.99,-57.75,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:52,70.99,-57.77,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:53,70.99,-57.77,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:54,70.99,-57.77,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:55,70.99,-57.78,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:56,70.99,-57.78,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:57,70.99,-57.78,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:58,70.99,-57.80,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:00:59,70.99,-57.80,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:00,70.99,-57.80,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:01,70.99,-57.80,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:02,70.99,-57.81,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:03,70.99,-57.81,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:04,70.99,-57.81,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:05,70.99,-57.81,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:06,70.99,-57.81,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:07,70.99,-57.81,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:08,70.99,-57.83,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:09,70.99,-57.83,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:10,70.99,-57.83,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:11,70.99,-57.83,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:12,70.99,-57.85,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:13,70.99,-57.85,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:14,70.99,-57.85,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:15,70.99,-57.86,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:16,70.99,-57.86,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:17,70.99,-57.86,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:18,70.99,-57.86,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:19,70.99,-57.86,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:20,70.99,-57.86,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:21,70.99,-57.88,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:22,70.99,-57.88,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:23,70.99,-57.88,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:24,70.99,-57.88,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:25,70.99,-57.88,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:26,70.99,-57.88,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:27,70.99,-57.89,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:28,70.99,-57.89,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:29,70.99,-57.89,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:30,70.99,-57.89,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:31,70.99,-57.91,7.72,,,N
20430933,BARN,0.016,2019-09-03 12:01:32,70.99,-57.89,7.71,,,N
20430933,BARN,0.016,2019-09-03 12:01:33,70.99,-57.91,7.72,,,N
20430933,BARN,0.016,2019-09-03 12:01:34,70.99,-57.91,7.72,,,N
20430933,BARN,0.016,2019-09-03 12:01:35,70.99,-57.91,7.72,,,N
20430933,BARN,0.016,2019-09-03 12:01:36,70.99,-57.91,7.72,,,N
20430933,BARN,0.016,2019-09-03 12:01:37,70.99,-57.91,7.72,,,N
