BarcodeJar,BarcodeJarNotes,CrossID,JarID,JarSeatable,JarTrt,Larvae
J001,,EF01_EM01_B1_QG,J001_B1,2,Control,T
J002,,EF01_EM01_B1_QG,J002_B1,2,Exposed,T
J003,,EF02_EM04_B1_QG,J003_B1,2,Exposed,T
J004,,EF02_EM04_B1_QG,J004_B1,2,Control,T
J005,,CF01_CM01_B1_QG,J005_B1,2,Exposed,T
J006,,CF01_CM01_B1_QG,J006_B1,2,Control,T
J007,,EF03_EM05_B1_QG,J007_B1,2,Exposed,T
J008,,EF03_EM05_B1_QG,J008_B1,2,Control,T
J009,,EF04_EM04_B1_QG,J009_B1,2,Exposed,T
J010,,EF04_EM04_B1_QG,J010_B1,2,Control,T
J011,,CF01_CM03_B1_QG,J011_B1,2,Control,T
J012,,CF01_CM03_B1_QG,J012_B1,2,Exposed,T
J013,,CF04_CM05_B1_QG,J013_B1,2,Control,T
J014,,CF04_CM05_B1_QG,J014_B1,2,Exposed,T
J015,,CF08_CM04_B1_QG,J015_B1,2,Control,T
J016,,CF08_CM04_B1_QG,J016_B1,2,Exposed,T
J017,,CF01_CM02_B1_QG,J017_B1,2,Exposed,T
J018,,EF04_EM05_B1_QG,J018_B1,2,Exposed,T
J019,,CF01_CM02_B1_QG,J019_B1,2,Control,T
J020,,EF04_EM05_B1_QG,J020_B1,2,Control,T
J021,,CF07_CM03_B1_QG,J021_B1,2,Exposed,T
J022,,CF02_CM03_B1_QG,J022_B1,2,Exposed,T
J023,,CF07_CM03_B1_QG,J023_B1,2,Control,T
J024,,CF02_CM03_B1_QG,J024_B1,2,Control,T
J025,,CF08_CM05_B1_QG,J025_B1,2,Exposed,T
J026,,CF08_CM05_B1_QG,J026_B1,2,Control,T
J027,,EF03_EM03_B1_QG,J027_B1,2,Exposed,T
J028,,EF06_EM01_B1_QG,J028_B1,2,Exposed,T
J029,,EF05_EM01_B1_QG,J029_B1,2,Control,T
J030,,EF05_EM01_B1_QG,J030_B1,2,Exposed,T
J031,,NA,J031_B1,2,Exposed,NA
J032,,CF07_CM02_B1_QG,J032_B1,2,Control,T
J033,,CF07_CM02_B1_QG,J033_B1,2,Exposed,T
J034,,CF05_CM01_B1_QG,J034_B1,2,Control,T
J035,,EF08_EM02_B1_QG,J035_B1,2,Control,T
J036,,EF08_EM02_B1_QG,J036_B1,2,Exposed,T
J037,,EF06_EM06_B1_QG,J037_B1,2,Control,T
J038,,EF06_EM06_B1_QG,J038_B1,2,Exposed,T
J039,,EF07_EM02_B1_QG,J039_B1,2,Control,T
J040,,EF07_EM02_B1_QG,J040_B1,2,Exposed,T
J041,,CF05_CM01_B1_QG,J041_B1,2,Exposed,T
J042,,CF06_CM01_B1_QG,J042_B1,2,Exposed,T
J043,,EF05_EM06_B1_QG,J043_B1,2,Control,T
