LarvaeMorphID,CilType,Area,MajorAxisLength,MaxFeretDiameter,MinFeretDiameter,MinorAxisLength,Perimeter,Batch
J040_B1_1,Area,43342,475.1781748,438.8086143,180.9733069,155.1744241,1312.3,B1
J040_B1_1,Extent,7278,458.5631737,390.0461511,84.12713937,86.38060472,916.302,B1
J040_B1_3,Area,44712,799.2311972,702.9800851,285.1336999,275.168097,2311.888,B1
J040_B1_3,Extent,14313,777.0569229,599.473102,254.7486048,303.797339,1772.284,B1
J040_B1_4,Area,26797,710.4292807,614.9617874,223.9489688,223.6453586,1772.554,B1
J040_B1_4,Extent,11809,676.4121995,545.0110091,200.0035075,223.9083112,1460.186,B1
J040_B1_6,Area,44908,751.3967433,617.683576,299.8386725,278.9795714,1965.164,B1
J040_B1_6,Extent,12577,682.9694142,534.1497917,219.7022151,263.3355832,1551.204,B1
J040_B1_9,Area,20354,399.3238488,351.4114398,131.5396925,105.4900754,999.868,B1
J040_B1_9,Extent,6562,417.9966172,359.2547842,74.80012302,75.74250242,822.136,B1
J040_B1_10,Area,19996,362.8440408,323.447059,119.1779381,99.66248171,913.716,B1
J040_B1_10,Extent,5298,338.7434105,296.5889411,48.97961588,45.07604312,664.24,B1
J040_B1_12,Area,21895,324.1925717,310.8858311,146.3766731,125.385293,877.92,B1
J040_B1_12,Extent,5271,337.2929241,291.8715471,55.04925232,53.10385155,664.622,B1
J040_B1_14,Area,50034,817.0832585,672.9673098,285.0294302,305.0052207,1974.578,B1
J040_B1_14,Extent,12933,726.1796399,564.2995658,218.5025594,255.3545797,1601.344,B1
J040_B1_15,Area,9747,237.2871195,211.0094785,73.91357646,67.17226296,574.762,B1
J040_B1_15,Extent,3316,219.6465038,193.9329781,24.92925375,22.32330568,422.598,B1
J041_B1_2,Area,9265,148.5840737,153.0751449,95.80914854,87.04185141,418.24,B1
J041_B1_2,Extent,1928,121.8880206,108.4619749,24.75931792,23.20102852,256.33,B1
J041_B1_4,rea,62853,665.8574515,604.88098,288.1230302,250.399351,1693.37,B1
J041_B1_4,xtent,10906,632.8044439,512.289957,172.9341958,196.2513471,1352.39,B1
J041_B1_5,Area,66938,518.2275614,485.2545724,230.0937517,194.0423364,1381.218,B1
J041_B1_5,Extent,6951,431.8723089,370.6211003,83.48413023,86.92539562,862.646,B1
J041_B1_9,Area,44989,620.7242881,557.5096412,199.4190116,181.668371,1516.986,B1
J041_B1_9,Extent,10035,580.6609815,484.4842619,156.0049244,173.0987484,1237.598,B1
J041_B1_12,Area,66012,474.2658396,442.6522337,210.4354439,192.4076163,1283.918,B1
J041_B1_12,Extent,6071,389.7502054,332.583824,56.71283293,53.58792637,758.9,B1
J041_B1_16,Area,22086,191.2294797,208.0793118,161.7847496,161.4363103,673.958,B1
J041_B1_16,Area,2652,94.43188962,88.19297024,38.20864965,37.66876207,229.12,B1
J041_B1_16,Area,13010,297.7253837,276.1231609,82.81508199,74.22926534,699.5,B1
J041_B1_16,Extent,2753,180.6616313,158.3729775,29.34593669,26.33750964,360.278,B1
J041_B1_16,Extent,598,39.69580423,37.33630941,18.52098016,19.43452881,99.388,B1
J041_B1_16,Extent,4067,267.699246,233.2573686,31.49402592,25.98779924,520.226,B1
J041_B1_17,rea,55496,777.2068477,623.3979467,327.9187474,357.1119155,2146.818,B1
J041_B1_17,Extent,14897,722.4223356,545.6418239,287.9916445,340.4573822,1824.068,B1
J041_B1_21,Area,65339,713.8487169,642.0101245,299.8379133,264.7703298,1942.592,B1
J041_B1_21,Extent,11639,643.6498665,530.589295,195.3240905,221.4976732,1424.11,B1
J042_B1_1,Area,45148,753.6451543,568.5068161,264.3253893,275.9018762,1790.374,B1
J042_B1_1,Extent,12954,651.7226457,502.3116562,248.6679275,289.9911428,1594.782,B1
J042_B1_6,Area,60811,786.4610204,661.2026921,350.3871209,334.3220219,2053.482,B1
J042_B1_6,Extent,13187,729.5155368,561.8344952,230.7708139,262.3212908,1628.184,B1
J042_B1_7,Area,70034,611.7778452,617.6026231,305.0686789,294.7243,2281.584,B1
J042_B1_7,Extent,9981,544.8921584,436.3312962,175.0869208,197.6829056,1226.862,B1
J042_B1_8,Area,59594,841.1110533,618.2895762,339.9541972,351.4379688,2321.632,B1
J042_B1_8,Extent,14293,710.6200039,509.1571467,278.3606307,330.2663701,1770.782,B1
