EggImageID,FemaleID,EggAreaPix2,EggAreaum2,EggCompactness,EggDiamum,EggEccentricity,EggExtent,EggFormFactor,EggMajorAxisLengthPix,EggMaxFeretDiameterPix,EggMaxRadiusPix,EggMeanRadiusPix,EggMedianRadiusPix,EggMinFeretDiameterPix,EggMinorAxisLengthPix,EggMorphNotes,EggObjectNumber,EggPerimeterPix,EggSolidity
EF02_B1_eggs_-0013_outline,EF02_B1,13861,175.3055459,1.001262623,15.35818745,0.276060063,0.778008532,0.908369349,135.2964171,136.5650028,64.89992296,22.23361558,19.6468827,129.400541,130.0388505,NA,1,437.896,0.986758739
EF01_B1_eggs_-0025_outline,EF01_B1,18270,231.0679117,1.001535252,17.53412478,0.267795922,0.796078431,0.905807101,155.1567071,155.9134375,74,25.46159083,22.36067977,149,149.4897105,NA,1,503.45,0.988716617
EF02_B1_eggs_-0020_outline,EF02_B1,22223,281.0630652,1.002817704,19.72394176,0.363971015,0.783880071,0.90077038,173.9832327,175.3852901,80.89499366,28.02099115,24.69817807,161,162.0497706,NA,1,556.8,0.988303833
CF06_B2_eggs-0004_outline,CF06_B2,29228,369.6580691,1.000623498,22.03367683,0.121691807,0.797011344,0.908281326,193.2996136,195.9234544,94,32.17395759,28.28427125,190,191.8629982,NA,1,635.908,0.990880429
EF02_B3_eggs-0019_outline,EF02_B3,29462,372.6175596,1.007697011,22.80706191,0.406173315,0.79307653,0.895245369,202.5679555,202.8003945,90,31.85695246,28.16025568,182,185.1057995,NA,1,643.08,0.989354915
EF01_B1_eggs_-0021_outline,EF01_B1,31027,392.4107332,1.001370441,22.9201845,0.199137638,0.779612041,0.887978024,200.4896549,203.8062806,95.81753493,32.9106287,29,192.4477785,196.474154,NA,1,662.634,0.98840432
EF02_B3_eggs-0025_outline,EF02_B3,33325,421.4744475,1.005522178,24.21666929,0.392091278,0.774531679,0.893336106,214.5442798,215.3346233,98.22932352,34.06169751,30.01666204,196.5821779,197.3649293,NA,1,684.672,0.989488999
CF04_B3_eggs-0023_outline,CF04_B3,45273,572.5855262,1.006915123,28.28670115,0.430603355,0.797762115,0.897064598,252.3959044,251.5253466,112.3610253,39.70455371,35.0142828,225.4563842,227.797721,NA,1,796.366,0.991850148
CF04_B3_eggs-0027_outline,CF04_B3,48113,608.5041288,1.000860652,28.24195431,0.150363483,0.808146468,0.901478567,248.4973356,251.1274577,120.7021127,41.21355438,36.23534186,242,245.6721152,NA,1,818.952,0.992562947
CF06_B2_eggs-0005_outline,CF06_B2,48279,610.6035964,1.004154766,29.58056866,0.376741385,0.811139113,0.903295692,257.2161228,263.0304165,119.2686044,41.0821856,36.138622,239,238.2640482,NA,1,819.538,0.992680169
CF02_B1_eggs_-0005_outline,CF02_B1,50039,632.8630121,1.001016905,28.88224801,0.180764102,0.80063681,0.893315598,254.0877578,256.8209493,122.4948979,41.89134164,36.87817783,247.8287353,249.9020384,NA,1,838.99,0.990136038
EF02_B1_eggs_-0005_outline,EF02_B1,50212,635.0510115,1.001093471,29.58484393,0.229440612,0.790702801,0.894637353,255.8377899,263.0684322,123.4058345,41.94900447,36.89173349,248.1944802,249.0127189,NA,1,839.818,0.990863345
CF06_B2_eggs-0003_outline,CF06_B2,52060,658.423398,1.002012643,29.83324488,0.322501994,0.788632542,0.899567805,264.1275736,265.2772135,124.6635472,42.81190744,37.65634077,250,250.0149163,NA,1,852.786,0.992649512
CF01_B3_eggs-0019_outline,CF01_B3,53138,672.0572901,1.000524535,29.8751851,0.164760373,0.777098567,0.898174562,261.4032001,265.6501459,127.5774275,43.24564415,38.01315562,257.0572301,257.8307659,NA,1,862.238,0.991371349
CF05_B3_eggs-0007_outline,CF05_B3,54582,690.3201288,1.001257429,30.43883839,0.276859214,0.795157554,0.89920928,268.4159095,270.662151,129.1200991,43.9145245,38.61346698,259.2655307,257.9236639,NA,1,873.372,0.992336851
CF02_B1_eggs_-0017_outline,CF02_B1,57609,728.6037943,1.001197864,31.05054325,0.238224035,0.787546138,0.904813208,274.331963,276.1014306,131.5180596,44.96390662,39.59797975,265,266.4340086,NA,1,894.48,0.991011758
CF06_B2_eggs-0007_outline,CF06_B2,61079,772.4902559,1.001995955,32.38729723,0.335677846,0.781881257,0.901214674,286.7392655,287.987847,134.6142637,46.42005965,41,268.7005769,270.1017497,NA,1,922.862,0.992944581
CF02_B1_eggs_-0003_outline,CF02_B1,64328,813.5816432,1.002285175,33.61896011,0.328891072,0.776495582,0.897127546,293.955632,298.9397933,138.3510029,47.49567208,41.78516483,277,277.6022523,NA,1,949.244,0.992356167
