"","Parameter","Statistic","Control","OA"
"1","CALCULATED PARAMETERS","","",""
"2","pCO2(gas-e)","(ppm-v)","665","3340"
"3","","SD","74","241"
"4","","Range","542-823","2952-3821"
"5","","n","133","136"
"6","TA","(uM)","1308","1279"
"7","","SD","9","10"
"8","","Range","1290-1324","1260-1294"
"9","","n","133","136"
"10","[CO32-]","(uM)","37","8"
"11","","SD","4","1"
"12","","Range","30-45","7-9"
"13","","n","133","136"
"14","[HCO3-]","(uM)","1213","1259"
"15","","SD","3","8"
"16","","Range","1195-1233","1243-1271"
"17","","n","133","136"
"18","[CO2](aq)","(uM)","24","120"
"19","","SD","3","9"
"20","","Range","19-30","106-137"
"21","","n","133","136"
"22","SatCalcite","","0.988","0.21"
"23","","SD","0.106","0.018"
"24","","Range","0.791-1.191","0.178-0.24"
"25","","n","133","136"
"26","SatAragonite","","0.604","0.128"
"27","","SD","0.065","0.011"
"28","","Range","0.484-0.729","0.109-0.147"
"29","","n","133","136"
"30","MEASURED PARAMETERS","","",""
"31","salinity","(ppt)","20","19.9"
"32","","SD","0","0"
"33","","Range","19.8-20.2","19.8-20"
"34","","n","133","136"
"35","Temperature","(C)","19.1","19.1"
"36","","SD","0","0"
"37","","Range","19-19.2","19-19.1"
"38","","n","133","136"
"39","pH","(Total)","7.69","7"
"40","","SD","0.05","0.03"
"41","","Range","7.6-7.78","6.94-7.06"
"42","","n","133","136"
"43","DIC","(uM)","1274","1387"
"44","","SD","3","1"
"45","","Range","1257-1294","1380-1398"
"46","","n","133","136"
"47","TA","(uM)","1511","1543"
"48","","SD","40","11"
"49","","Range","1464-1548","1529-1554"
"50","","n","133","136"
