"","Parameter","Statistic","Control","OA"
"1","CALCULATED PARAMETERS","","",""
"2","pCO2(gas-e)","(ppm-v)","681","3382"
"3","","SD","91","308"
"4","","Range","558-771","2952-3715"
"5","","n","5","5"
"6","TA","(uM)","1303","1276"
"7","","SD","11","8"
"8","","Range","1290-1317","1269-1288"
"9","","n","5","5"
"10","[CO32-]","(uM)","36","8"
"11","","SD","4","1"
"12","","Range","33-43","7-9"
"13","","n","5","5"
"14","[HCO3-]","(uM)","1210","1257"
"15","","SD","18","6"
"16","","Range","1195-1233","1250-1265"
"17","","n","5","5"
"18","[CO2](aq)","(uM)","24","122"
"19","","SD","3","11"
"20","","Range","20-28","106-134"
"21","","n","5","5"
"22","SatCalcite","","0.961","0.207"
"23","","SD","0.111","0.022"
"24","","Range","0.87-1.135","0.186-0.239"
"25","","n","5","5"
"26","SatAragonite","","0.588","0.127"
"27","","SD","0.068","0.013"
"28","","Range","0.533-0.695","0.114-0.146"
"29","","n","5","5"
"30","MEASURED PARAMETERS","","",""
"31","salinity","(ppt)","20","19.9"
"32","","SD","0.1","0.1"
"33","","Range","19.8-20.2","19.8-20"
"34","","n","5","5"
"35","Temperature","(C)","19.1","19.1"
"36","","SD","0.1","0"
"37","","Range","19-19.2","19-19.1"
"38","","n","5","5"
"39","pH","(Total)","7.68","7"
"40","","SD","0.05","0.04"
"41","","Range","7.63-7.76","6.96-7.06"
"42","","n","5","5"
"43","DIC","(uM)","1271","1386"
"44","","SD","18","7"
"45","","Range","1257-1294","1380-1398"
"46","","n","5","5"
"47","TA","(uM)","1511","1543"
"48","","SD","40","11"
"49","","Range","1464-1548","1529-1554"
"50","","n","5","5"
