MorphID,JarID,ImageID,CilExtruded,MorphNotes,Flag,JarTrt,CrossID,F1LarvaeCount,F1TotalLarvaeWtg,F1WtPerLarvae,AreaPix2,Compactness,Eccentricity,Extent,FormFactor,MajorAxisLengthPix,MaxFeretDiamPix,MaxRadiusPix,MeanRadiusPix,MedianRadiusPix,MinFeretDiamPix,MinorAxisLengthPix,PerimeterPix,Solidity,Pix_per_um,MaxFeretDiamum,SurfaceAreaum2,Perimeterum
J003_B1_1,J003_B1,1,T,,F,Exposed,EF02_EM04_B1_QG,7,0.0003,4.28571E-05,58088,1.015768283,0.515667982,0.767162366,0.880750259,293.723399,290.3670091,123.1665539,44.33944699,39.35733731,246.7679952,251.6588301,910.378,0.992270309,4.08,71.16838458,3489.52326,223.1318627
J003_B1_5,J003_B1,5,T,potentially underdeveloped?,F,Exposed,EF02_EM04_B1_QG,7,0.0003,4.28571E-05,45189,1.013433867,0.502607819,0.763559866,0.886078464,257.7944054,258.1259383,109.5536398,39.22374161,34.78505426,221.0029168,222.8670103,800.544,0.989760494,4.08,63.26616135,2714.641003,196.2117647
J003_B1_8,J003_B1,8,F,,F,Exposed,EF02_EM04_B1_QG,7,0.0003,4.28571E-05,39574,1.010605143,0.458555663,0.755560647,0.878213036,238.0500435,240.1499532,102.7861858,36.54764352,32.44996148,208.8355783,211.5469056,752.506,0.989943966,4.08,58.86028265,2377.330834,184.4377451
J003_B1_9,J003_B1,9,T,,F,Exposed,EF02_EM04_B1_QG,7,0.0003,4.28571E-05,47494,1.013137944,0.452985983,0.78334158,0.87296162,260.7323658,259.5630944,113.0309692,39.85261206,35.35533906,226.8440723,232.447503,826.85,0.988963851,4.08,63.61840549,2853.109381,202.6593137
J003_B1_10,J003_B1,10,T,,F,Exposed,EF02_EM04_B1_QG,7,0.0003,4.28571E-05,51132,1.015660723,0.458561682,0.742269837,0.856783062,271.251115,272.8094573,115,40.98923014,36.35931793,232.688466,241.0507162,865.996,0.986133344,4.08,66.86506306,3071.655133,212.2539216
J003_B1_11,J003_B1,11,T,,F,Exposed,EF02_EM04_B1_QG,7,0.0003,4.28571E-05,40908,1.006621251,0.364304387,0.743998254,0.870092386,236.4806575,238.5497852,105.3090689,37.24245493,33.01514804,217.6317045,220.2296909,768.646,0.987007347,4.08,58.46808461,2457.468281,188.3936275
J003_B1_12,J003_B1,12,T,,F,Exposed,EF02_EM04_B1_QG,7,0.0003,4.28571E-05,45561,1.023666593,0.55278291,0.73782996,0.872644515,264.1897119,262.5890325,106.5316854,38.77859584,34.525353,215.9881128,220.1559708,809.996,0.988340185,4.08,64.36005699,2736.988178,198.5284314
J003_B1_13,J003_B1,13,F,,F,Exposed,EF02_EM04_B1_QG,7,0.0003,4.28571E-05,61116,1.018312117,0.521884664,0.766095066,0.876559777,302.218576,301.8956773,126.5306287,45.31990345,40.22437072,253.5701086,257.7972987,936.034,0.991394483,4.08,73.99403855,3671.424452,229.420098
J003_B1_14,J003_B1,14,T,,F,Exposed,EF02_EM04_B1_QG,7,0.0003,4.28571E-05,56604,1.021441462,0.557289395,0.785762872,0.880056491,294.5744789,293.955779,120.2206305,43.58918298,38.83297568,241.8309103,244.5905896,899.028,0.991521861,4.08,72.04798505,3400.374856,220.35
J003_B1_17,J003_B1,17,T,potentially underdeveloped?,F,Exposed,EF02_EM04_B1_QG,7,0.0003,4.28571E-05,49083,1.007044123,0.336384172,0.776678904,0.866957011,257.7325892,262.2689459,117.6137747,40.40285226,35.77708764,239.3844189,242.7131832,843.474,0.983913161,4.08,64.28160439,2948.565456,206.7338235
J004_B1_1,J004_B1,1,F,,F,Control,EF02_EM04_B1_QG,303,-0.0001,-3.30033E-07,339020,1.015747049,0.482466167,0.834233547,0.882736758,702.7561176,696.1213975,296,106.2909603,94.24436323,592.9744317,615.554348,2196.858,0.994920044,8.892,78.28625703,4287.719946,247.060054
J004_B1_2,J004_B1,2,F,,F,Control,EF02_EM04_B1_QG,303,-0.0001,-3.30033E-07,314066,1.018904297,0.512725869,0.804039835,0.875820456,683.2990131,685.0065693,285.2805637,102.0628081,90.60353194,571.0133527,586.6479917,2122.794,0.993670636,8.892,77.03627635,3972.116844,238.7307692
J004_B1_3,J004_B1,3,F,,F,Control,EF02_EM04_B1_QG,303,-0.0001,-3.30033E-07,300025,1.015609333,0.462968926,0.767370543,0.866490257,657.645643,649.5329091,281.3680863,99.83061543,88.52683209,569.1158931,582.920335,2085.94,0.991995265,8.892,73.04688586,3794.534767,234.5861448
J004_B1_4,J004_B1,4,F,,F,Control,EF02_EM04_B1_QG,303,-0.0001,-3.30033E-07,293233,1.01753277,0.49443512,0.741986336,0.868549407,656.3355239,656.6559221,277.800288,98.43992939,87.2811549,562.8344447,570.496379,2059.748,0.989420266,8.892,73.84794446,3708.633658,231.6405758
