DateCount,Filter100um1,Filter100um2,Filter10um1,Filter10um2,Filter20um1,Filter20um2,Filter20um3,Filter20umPercDiff,FilterRinse,HClAdded,JarID,LarvaeCountsNotes,NumPhotos,NumSWR,Objective,PercentAbnormal,PersonFilterCount,PersonPhotos,PhotoNotes,PresenceJunk,PresenceZopl,SWRAbnormal,SWRCountTotal,SWRD,SWRFacingAway,SWRFacingAwayAbnormal,SWRRound,SWRStored,SWRTotal,SWRType,SWRUnsure,Total1mL,TotalLarvae,OrigTotalLarvae
20190301,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J001_B2,NA,10,2,20X,NA,NA,Ffion,all larvae surrounded by precipitate,NA,NA,0,NA,0,0,0,0,NA,0,glass,0,0,NA,NA
20190306,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J001_B3,NA,31,2,20X,NA,NA,Ffion,non-larvae photo: 18,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20190301,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J002_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,0,NA,0,0,0,0,NA,0,glass,0,0,NA,NA
20190306,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J002_B3,NA,32,2,20X,NA,NA,Ffion,"many round larvae; non-larvae: 6, 34",NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180720,0,0,0,0,460,446,NA,0.030434783,DI,TRUE,J003_B1,NA,26,1,10X,NA,Katie,Brett,NA,NA,NA,9,FALSE,30,0,0,0,DI,39,plastic,0,39,492,492
20190301,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J003_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,0,NA,0,0,0,0,NA,0,glass,0,0,NA,NA
20190306,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J003_B3,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180823,4,4,1,0,73,75,NA,-0.02739726,DI,TRUE,J004_B1,"filter used for SEM, not available for recount",30,1,20X,NA,Camila,Camila,NA,NA,NA,4,FALSE,425,0,0,0,DI,429,plastic,0,429,507.5,507
20190301,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J004_B2,NA,53,1,20X,NA,NA,Ffion,"non-larvae photos: 3, 12, 17?, 31, 32, 36, 38, 43, 54",NA,NA,0,NA,0,0,0,0,NA,0,glass,0,0,NA,NA
20190306,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J004_B3,NA,25,2,20X,NA,NA,Ffion,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180714,0,0,1,1,263,270,249,-0.02661597,DI,TRUE,J005_B1,NA,28,1,20X,NA,Camila,Camila,NA,NA,NA,4,FALSE,98,0,0,0,DI,102,plastic,0,102,369.5,368.5
20190301,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J005_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,0,NA,0,0,0,0,NA,0,glass,0,0,NA,NA
20190306,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J005_B3,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180823,3,3,1,0,34,36,NA,-0.058823529,DI,TRUE,J006_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,0,FALSE,509,0,0,0,DI,509,plastic,0,509,547.5,547
20190304,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J006_B2,NA,42,1,20X,NA,NA,Ffion,"non-larvae photos: 6, 14, 18-20, 29, 33, 34, 36-41, 44, 45, 48, 52?",NA,NA,0,NA,0,0,0,0,NA,0,glass,0,0,NA,NA
20190306,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J006_B3,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180821,9,6,0,0,460,461,362,-0.002173913,DI,TRUE,J007_B1,NA,30,1,20X,NA,Camila,Camila,NA,NA,NA,7,FALSE,549,0,0,0,DI,556,plastic,0,556,1024,1024
20190305,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J007_B2,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,0,NA,0,0,0,0,NA,0,glass,0,0,NA,NA
20190307,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J007_B3,NA,38,1,20X,NA,NA,Ffion,non-larvae: 26,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180821,0,0,0,0,772,779,971,-0.009067358,DI,TRUE,J008_B1,"accidentally used 40% formalin after taking the pictures and counting. filter used for SEM, not available for recount",30,1,20X,NA,Camila,Camila,NA,NA,NA,5,FALSE,169,0,0,0,DI,174,plastic,0,174,949.5,949.5
20190305,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J008_B2,NA,75,1,20X,NA,NA,Ffion,"most larvae are not D-stage/in correct orientation; non-larvae photos: 32, 53?",NA,NA,0,NA,0,0,0,0,NA,0,glass,0,0,NA,NA
20190307,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J008_B3,NA,30,1,20X,NA,NA,Ffion,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,glass,NA,0,NA,NA
20180824,0,0,2,2,418,421,389,-0.007177033,DI,TRUE,J009_B1,"Storage falcon tube used to test turbidity meter and then for filter testing, no sample left",30,1,20X,NA,Peter,Camila,NA,NA,NA,9,FALSE,905,0,0,0,DI,914,plastic,0,914,1335.5,1333.5
20190305,NA,NA,NA,NA,NA,NA,NA,0,NA,FALSE,J009_B2,NA,16,2,20X,NA,NA,Ffion,very few larvae; not all D-stage or in correct orientations; non-larvae photos: 3?,NA,NA,0,NA,0,0,0,0,NA,0,glass,0,0,NA,NA
