ImageID,JarID,MaxFeretDiamPix,MaxFeretDiamum,MorphNotes,PerimeterPix,Perimeterum,SurfaceAreaPix2,SurfaceAreaum2
2,J021_B1,554.436651,62.4365598,,1780.362,200.4912162,225273,2856.822194
4,J021_B1,587.1873636,66.12470311,,1847.992,208.1072072,242029,3069.315092
5,J021_B1,512.1913705,57.67920839,,1571.076,176.922973,172529,2187.943856
6,J021_B1,625.6644468,70.45770797,,1875.494,211.2042793,243164,3083.708709
7,J021_B1,587.9625838,66.21200268,,1875.278,211.179955,246347,3124.074243
9,J021_B1,553.2386465,62.30164938,,1729.674,194.7831081,206156,2614.388037
10,J021_B1,529.682924,59.64897793,,1674.184,188.5342342,198519,2517.538654
12,J021_B1,561.2717702,63.20628043,,1775.838,199.9817568,223309,2831.91553
14,J021_B1,612.9437168,69.02519333,,1892.158,213.0808559,249942,3169.664597
16,J021_B1,553.0904085,62.28495591,,1738.184,195.7414414,211596,2683.375944
1,J023_B1,659.0819372,74.22093887,,2076.896,233.8846847,302244,3832.937667
2,J023_B1,656.2994743,73.90759846,,2049.162,230.7614865,292866,3714.009618
3,J023_B1,578.7780231,65.1777053,,1845.444,207.8202703,237548,3012.48884
4,J023_B1,686.4349933,77.30123798,,2140.59,241.0574324,314023,3982.31424
5,J023_B1,649.3627646,73.12643745,,1995.138,224.6777027,279452,3543.898628
6,J023_B1,661.8912297,74.53730064,,2071.074,233.2290541,300644,3812.647107
7,J023_B1,658.8778339,74.19795427,,2065.608,232.6135135,296403,3758.864439
8,J023_B1,655.9893292,73.87267221,,2071.902,233.3222973,293158,3717.712645
9,J023_B1,666.124613,75.014033,,2046.576,230.4702703,293326,3719.843154
10,J023_B1,671.1788137,75.58319974,,2095.888,236.0234234,305402,3872.986162
1,J027_B1,586.003413,65.99137534,,1772.666,199.6245495,220377,2794.733078
4,J027_B1,566.5403781,63.79959213,,1788.642,201.4236486,224631,2848.680606
5,J027_B1,523.1185334,58.90974475,,1577.05,177.5957207,172468,2187.170278
6,J027_B1,569.9561387,64.18424985,,1734.208,195.2936937,206676,2620.982469
7,J027_B1,551.6701913,62.12502154,,1731.368,194.9738739,210821,2673.547703
8,J027_B1,570.6172097,64.25869479,,1759.47,198.1385135,211123,2677.377546
9,J027_B1,499.2193906,56.21839984,,1537.98,173.1959459,164578,2087.11245
10,J027_B1,541.354782,60.96337635,,1716.158,193.261036,206985,2624.901084
11,J027_B1,550.7885257,62.02573488,,1732.158,195.0628378,209517,2657.010896
12,J027_B1,471.0371535,53.04472449,,1487.662,167.5295045,151394,1919.918229
1,J028_B1,584.4390473,65.81520803,,1798.246,202.5051802,226100,2867.309877
2,J028_B1,614.1441199,69.16037386,,1876.768,211.3477477,246905,3131.150576
3,J028_B1,603.0961781,67.91623627,,1815.214,204.415991,228230,2894.321687
4,J028_B1,602.8540454,67.88896908,,1895.228,213.4265766,248965,3157.274673
5,J028_B1,609.4070889,68.62692443,,1924.704,216.7459459,261027,3310.240139
6,J028_B1,581.6330458,65.49921687,,1823.916,205.3959459,232914,2953.722303
7,J028_B1,562.6908565,63.36608744,,1757.508,197.9175676,215218,2729.308701
8,J028_B1,593.010118,66.78041869,,1777.1,200.1238739,219759,2786.895849
9,J028_B1,616.477899,69.42318682,,1906.54,214.7004505,253613,3216.218753
10,J028_B1,565.8727772,63.72441185,,1736.4,195.5405405,208994,2650.378419
1,J057_B1,591.5741712,66.61871297,,1883.494,212.1051802,245690,3115.742432
2,J057_B1,559.7293989,63.03258997,,1737.788,195.6968468,209150,2652.356749
3,J057_B1,568.1584286,63.98180502,,1812.884,204.1536036,231565,2936.614824
4,J057_B1,599.3362996,67.49282653,,1864.844,210.004955,245205,3109.591855
5,J057_B1,577.2599068,65.00674626,,1823.864,205.3900901,233464,2960.697184
6,J057_B1,603.1384584,67.92099757,,1868.774,210.4475225,243291,3085.319272
7,J057_B1,562.5548862,63.35077547,,1779.164,200.3563063,220504,2796.343641
8,J057_B1,641.3142755,72.22007607,,1984.284,223.4554054,273995,3474.695134
1,J058_B1,658.1527178,74.11629705,,2070.258,233.1371622,294485,3734.541129
2,J058_B1,690.7655174,77.78890962,,2188.83,246.4898649,334932,4247.473825
3,J058_B1,689.1973593,77.61231524,,2160.984,243.3540541,321759,4080.419102
4,J058_B1,645.5083268,72.69237914,,2036.858,229.3759009,290527,3684.347354
5,J058_B1,644.1125678,72.53519908,,2050.818,230.947973,293236,3718.70181
6,J058_B1,635.8899276,71.60922608,,2010.59,226.4177928,279112,3539.586884
7,J058_B1,660.7185482,74.40524191,,2119.928,238.7306306,310221,3934.098795
8,J058_B1,716.855634,80.72698581,,2247.976,253.1504505,356848,4525.403782
9,J058_B1,673.4129491,75.83479157,,2151.722,242.311036,321750,4080.304967
10,J058_B1,695.5925532,78.33249473,,2199.454,247.6862613,334660,4244.02443
1,J059_B1,694.1944972,78.17505599,,2165.212,243.8301802,325121,4123.054642
2,J059_B1,667.3604723,75.15320634,,2121.622,238.9213964,316690,4016.136069
3,J059_B1,658.3691973,74.14067537,,2054.59,231.3727477,299546,3798.722709
4,J059_B1,709.8464623,79.93766467,,2264.398,254.9997748,352756,4473.510673
5,J059_B1,673.0854329,75.79790911,,2139.582,240.9439189,316846,4018.114398
6,J059_B1,652.4055487,73.46909332,,2057.086,231.6538288,296320,3757.811866
7,J059_B1,682.297589,76.83531408,,2158.27,243.0484234,322420,4088.801639
8,J059_B1,663.5849606,74.7280361,,2106.754,237.2470721,309081,3919.64177
9,J059_B1,682.1092288,76.81410234,,2157.66,242.9797297,328827,4170.052654
10,J059_B1,684.5728595,77.09153823,,2102.806,236.8024775,313308,3973.246896
1,J060_B1,575.646593,64.82506678,,1722.948,194.0256757,204495,2593.323898
2,J060_B1,540.0268512,60.81383459,,1721.368,193.8477477,210926,2674.879271
3,J060_B1,566.8050811,63.82940102,,1762.858,198.520045,218394,2769.585464
5,J060_B1,532.319453,59.94588435,,1669.254,187.9790541,195859,2483.805596
6,J060_B1,538.1570403,60.6032703,,1649.852,185.7941441,188539,2390.97628
8,J060_B1,569.6920221,64.15450699,,1798.362,202.5182432,228743,2900.827348
11,J060_B1,577.5205624,65.03609937,,1780.628,200.5211712,221910,2814.173971
12,J060_B1,610.8109364,68.78501536,,1904.374,214.4565315,251193,3185.529279
13,J060_B1,549.3050155,61.85867292,,1710.694,192.6457207,201897,2560.3771
15,J060_B1,569.2213981,64.1015088,,1802.03,202.9313063,224951,2852.738718
1,J061_B1,654.1070249,73.660701,,2037.328,229.4288288,288904,3663.765116
2,J061_B1,689.9927536,77.70188667,,2170.322,244.4056306,327100,4148.15153
3,J061_B1,662.9419281,74.65562253,,2118.742,238.5970721,309075,3919.565681
4,J061_B1,683.2400749,76.94144988,,2150.742,242.2006757,316899,4018.786523
5,J061_B1,709.9753517,79.95217925,,2196.144,247.3135135,340289,4315.409159
6,J061_B1,704.9347488,79.38454378,,2190.206,246.6448198,336873,4272.088812
7,J061_B1,650.8340802,73.29212615,,2060.258,232.011036,291380,3695.164759
8,J061_B1,657.9984802,74.09892795,,2065.952,232.6522523,298511,3785.597253
9,J061_B1,674.6058108,75.96912284,,2113.354,237.9903153,308572,3913.186835
10,J061_B1,682.9736452,76.91144653,,2156.36,242.8333333,317559,4027.156379
2,J062_B1,594.3904441,66.93586082,,1853.19,208.6925676,240755,3053.158733
4,J062_B1,576.378348,64.90747162,,1770.654,199.397973,219075,2778.221634
6,J062_B1,617.324064,69.51847568,,1879.126,211.6132883,245633,3115.01958
7,J062_B1,572.5906042,64.4809239,,1813.266,204.1966216,229986,2916.590577
8,J062_B1,538.7132818,60.66591011,,1715.458,193.1822072,207021,2625.357621
9,J062_B1,607.9284497,68.460411,,1915.354,215.693018,258428,3277.280659
11,J062_B1,557.2943567,62.7583735,,1754.03,197.5259009,216886,2750.46161
12,J062_B1,614.4688763,69.19694553,,1895.214,213.425,253808,3218.691665
13,J062_B1,572.1477082,64.43104822,,1783.954,200.8957207,220213,2792.653295
14,J062_B1,579.8249736,65.29560514,,1743.584,196.3495495,212846,2699.227944
1,J063_B1,657.5545605,74.04893699,,2075.66,233.7454955,300576,3811.784758
2,J063_B1,677.461438,76.29070248,,2124.71,239.2691441,308803,3916.116285
3,J063_B1,656.2088082,73.89738831,,2032.208,228.8522523,284346,3605.962381
4,J063_B1,667.8113506,75.20398092,,2122.894,239.0646396,312574,3963.938601
5,J063_B1,654.8419657,73.74346461,,2002.654,225.5240991,281972,3575.856262
6,J063_B1,658.8368539,74.1933394,,2115.558,238.2385135,303187,3844.896417
7,J063_B1,681.3582024,76.7295273,,2146.028,241.6698198,318186,4035.107743
8,J063_B1,659.273843,74.24254989,,2038.614,229.5736486,293315,3719.703656
9,J063_B1,673.7514378,75.87290966,,2164.92,243.7972973,324125,4110.423768
10,J063_B1,655.4464128,73.81153297,,2071.686,233.297973,303574,3849.804196
1,J064_B1,652.7541651,73.50835193,,2049.266,230.7731982,293917,3727.33798
