"","TrtTankID","AdultID","AccTankID","AccTankOrder","AdultDateAcclimation","AdultDateCollected","AdultDateExposed","AdultLength","AdultSampleNotes","AdultTotalWeight","AdultWidth","TrtTankOrder","DateSampGonadMantle","GameteSample","GameteSampleID","GonadAmount","GonadDNA","GonadDNAID","MantleDNA","MantleDNAID","Ooze","ParentBlockID","ParentIDNotes","Sex","SpermActivity","TimeGametesStripped","TimeSampGonad","Block","ParentTrt","date","mV_1","mV_2","mV_3","mV_mean","salinity_1","salinity_2","salinity_3","sal_mean","pH_batch","pH_meas","NBScorr","pHNBS","Swcorr","pHSW","salinity_batch","salinity","temperature","mV","VindtaTemp","DIC_raw","DIC_corr","DIC_fromAlk","Alk_raw","Alk_corr","AT_Calc_NBS","pCO2_NBS","HCO3_NBS","CO3_NBS","CO2_NBS","SatCalcite_NBS","SatArag_NBS","AT_Calc_SW","pCO2_SW","HCO3_SW","CO3_SW","CO2_SW","SatCalcite_SW","SatArag_SW","pCO2_ATDIC","HCO3_ATDIC","CO3_ATDIC","CO2_ATDIC","SatCalcite_ATDIC","SatArag_ATDIC"
"2","1","L18A0059","29",2,20180607,20180605,20180615,2.5,"",30.75,2,1,20180710,TRUE,"L18A0059_sperm","low",TRUE,"L18A0059g",TRUE,"L18A0059m",FALSE,"EM01_B1","","M","active","11:27:00","14:10:00","B1","2600",20180661,-37.5,-37,-37.5,-37.33333333,19.85,19.85,19.85,19.85,13.5,7.030915203,0.1361278,7.167043003,0.0532674,7.084182603,13.5,19.728666665,19.55,182.7,24.7875005,1574.61,1573.3539595,1558.342397,1498.59,1503.105309,1457.763733,3657.8500685,1433.7865945,9.702188695,129.8651645,0.257048014,0.1571971135,1477.2526855,3177.3715135,1449.142854,11.4043294885,112.8067643,0.3021457915,0.18477661,2562.65,1468.045,14.25,91.065,0.38,0.23
"5","1","L18A0031","29",2,20180607,20180605,20180615,3.18,"",77.53,2.6,1,20180710,TRUE,"L18A0031_sperm","normal",TRUE,"L18A0031g",TRUE,"L18A0031m",FALSE,"EM06_B1","","M","active","12:20:00","13:54:00","B1","2600",20180661,-37.5,-37,-37.5,-37.33333333,19.85,19.85,19.85,19.85,13.5,7.030915203,0.1361278,7.167043003,0.0532674,7.084182603,13.5,19.728666665,19.55,182.7,24.7875005,1574.61,1573.3539595,1558.342397,1498.59,1503.105309,1457.763733,3657.8500685,1433.7865945,9.702188695,129.8651645,0.257048014,0.1571971135,1477.2526855,3177.3715135,1449.142854,11.4043294885,112.8067643,0.3021457915,0.18477661,2562.65,1468.045,14.25,91.065,0.38,0.23
"32","4","L18A0057","26",2,20180607,20180605,20180615,3.18,"",76.69,2.98,1,20180710,TRUE,"L18A0057_sperm","low",TRUE,"L18A0057g",TRUE,"L18A0057m",FALSE,"CM03_B1","","M","active","12:25:00","14:02:00","B1","400",20180663.5,-73.5,-73.5,-73,-73.333333335,19.7,19.7,19.7,19.7,14,7.660491875,0.1360128,7.796504675,0.0532224,7.713714275,14,19.712,19.7,145.2,24.3859995,1451,1453.3688665,1453.840104,1503.705,1511.843405,1482.6085815,824.91612575,1384.479135,39.71444879,29.175340635,1.052787773,0.644152748,1496.0199585,707.49856455,1382.1996315,46.14647599,25.02281702,1.2232991475,0.7484802065,611.91,1376.79,54.91,21.665,1.455,0.895
"39","4","L18A0052","25",1,20180607,20180605,20180615,3.21,"",79.48,2.46,1,20180710,TRUE,"L18A0052_eggs","normal",TRUE,"L18A0052g",TRUE,"L18A0052m",NA,"CF07_B1","","F",NA,"10:48:00","12:50:00","B1","400",20180663.5,-73.5,-73.5,-73,-73.333333335,19.7,19.7,19.7,19.7,14,7.660491875,0.1360128,7.796504675,0.0532224,7.713714275,14,19.712,19.7,145.2,24.3859995,1451,1453.3688665,1453.840104,1503.705,1511.843405,1482.6085815,824.91612575,1384.479135,39.71444879,29.175340635,1.052787773,0.644152748,1496.0199585,707.49856455,1382.1996315,46.14647599,25.02281702,1.2232991475,0.7484802065,611.91,1376.79,54.91,21.665,1.455,0.895
"40","4","L18A0007","26",2,20180607,20180605,20180615,1.9,"",31,1.75,1,20180710,TRUE,"L18A0007_sperm","normal",TRUE,"L18A0007g",TRUE,"L18A0007m",FALSE,"CM01_B1","","M","active","12:01:00","14:15:00","B1","400",20180663.5,-73.5,-73.5,-73,-73.333333335,19.7,19.7,19.7,19.7,14,7.660491875,0.1360128,7.796504675,0.0532224,7.713714275,14,19.712,19.7,145.2,24.3859995,1451,1453.3688665,1453.840104,1503.705,1511.843405,1482.6085815,824.91612575,1384.479135,39.71444879,29.175340635,1.052787773,0.644152748,1496.0199585,707.49856455,1382.1996315,46.14647599,25.02281702,1.2232991475,0.7484802065,611.91,1376.79,54.91,21.665,1.455,0.895
"61","7","L18A0077","29",2,20180607,20180605,20180615,3.8,"",90.76,3.08,2,20180710,TRUE,"L18A0077_eggs","normal",TRUE,"L18A0077g",TRUE,"L18A0077m",TRUE,"EF04_B1","","F",NA,"10:28:00","14:07:00","B1","2600",20180663.5,-40.5,-40.5,-40.5,-40.5,19.75,19.75,19.75,19.75,14,7.097366125,0.1363578,7.233723925,0.0533574,7.150723525,14,19.762,19.1,178.65,24.3999995,1794.705,1807.04252,1796.2613665,1721.815,1726.915346,1695.45575,3602.875776,1664.6112905,12.792893885,129.63827115,0.33829686,0.206759129,1715.4141845,3131.855317,1679.371813,14.98015359,112.69048935,0.396137463,0.2421098715,2871.76,1687.18,16.525,103.34,0.435,0.27
"64","7","L18A0022","28",1,20180607,20180605,20180615,3.82,"",160.69,2.7,2,20180710,TRUE,"L18A0022_eggs","normal",TRUE,"L18A0022g",TRUE,"L18A0022m",FALSE,"EF02_B1","","F",NA,"10:16:00","13:19:00","B1","2600",20180663.5,-40.5,-40.5,-40.5,-40.5,19.75,19.75,19.75,19.75,14,7.097366125,0.1363578,7.233723925,0.0533574,7.150723525,14,19.762,19.1,178.65,24.3999995,1794.705,1807.04252,1796.2613665,1721.815,1726.915346,1695.45575,3602.875776,1664.6112905,12.792893885,129.63827115,0.33829686,0.206759129,1715.4141845,3131.855317,1679.371813,14.98015359,112.69048935,0.396137463,0.2421098715,2871.76,1687.18,16.525,103.34,0.435,0.27
"66","7","L18A0012","30",3,20180607,20180605,20180615,4.31,"",150.75,3.22,2,20180710,TRUE,"L18A0012_sperm","normal",TRUE,"L18A0012g",TRUE,"L18A0012m",FALSE,"EM05_B1","","M","active","12:08:00","13:56:00","B1","2600",20180663.5,-40.5,-40.5,-40.5,-40.5,19.75,19.75,19.75,19.75,14,7.097366125,0.1363578,7.233723925,0.0533574,7.150723525,14,19.762,19.1,178.65,24.3999995,1794.705,1807.04252,1796.2613665,1721.815,1726.915346,1695.45575,3602.875776,1664.6112905,12.792893885,129.63827115,0.33829686,0.206759129,1715.4141845,3131.855317,1679.371813,14.98015359,112.69048935,0.396137463,0.2421098715,2871.76,1687.18,16.525,103.34,0.435,0.27
"67","7","L18A0048","29",2,20180607,20180605,20180615,2.21,"",33.43,1.79,2,20180710,TRUE,"L18A0048_sperm","normal",TRUE,"L18A0048g",TRUE,"L18A0048m",TRUE,"EM03_B1","","M","active","11:49:00","13:43:00","B1","2600",20180663.5,-40.5,-40.5,-40.5,-40.5,19.75,19.75,19.75,19.75,14,7.097366125,0.1363578,7.233723925,0.0533574,7.150723525,14,19.762,19.1,178.65,24.3999995,1794.705,1807.04252,1796.2613665,1721.815,1726.915346,1695.45575,3602.875776,1664.6112905,12.792893885,129.63827115,0.33829686,0.206759129,1715.4141845,3131.855317,1679.371813,14.98015359,112.69048935,0.396137463,0.2421098715,2871.76,1687.18,16.525,103.34,0.435,0.27
"68","7","L18A0041","28",1,20180607,20180605,20180615,2.25,"",43.08,2.2,2,20180710,TRUE,"L18A0041_eggs","normal",TRUE,"L18A0041g",TRUE,"L18A0041m",TRUE,"EF03_B1","","F",NA,"10:25:00","13:30:00","B1","2600",20180663.5,-40.5,-40.5,-40.5,-40.5,19.75,19.75,19.75,19.75,14,7.097366125,0.1363578,7.233723925,0.0533574,7.150723525,14,19.762,19.1,178.65,24.3999995,1794.705,1807.04252,1796.2613665,1721.815,1726.915346,1695.45575,3602.875776,1664.6112905,12.792893885,129.63827115,0.33829686,0.206759129,1715.4141845,3131.855317,1679.371813,14.98015359,112.69048935,0.396137463,0.2421098715,2871.76,1687.18,16.525,103.34,0.435,0.27
"69","7","L18A0003","29",2,20180607,20180605,20180615,2.95,"",51.19,2.42,2,20180710,TRUE,"L18A0003_eggs","normal",TRUE,"L18A0003g",TRUE,"L18A0003m",FALSE,"EF06_B1","","F",NA,"10:58:00","12:44:00","B1","2600",20180663.5,-40.5,-40.5,-40.5,-40.5,19.75,19.75,19.75,19.75,14,7.097366125,0.1363578,7.233723925,0.0533574,7.150723525,14,19.762,19.1,178.65,24.3999995,1794.705,1807.04252,1796.2613665,1721.815,1726.915346,1695.45575,3602.875776,1664.6112905,12.792893885,129.63827115,0.33829686,0.206759129,1715.4141845,3131.855317,1679.371813,14.98015359,112.69048935,0.396137463,0.2421098715,2871.76,1687.18,16.525,103.34,0.435,0.27
"70","7","L18A0035","30",3,20180607,20180605,20180615,2.68,"",48.24,2.1,2,20180710,TRUE,"L18A0035_eggs","normal",TRUE,"L18A0035g",TRUE,"L18A0035m",FALSE,"EF08_B1","","F",NA,"10:19:00","13:02:00","B1","2600",20180663.5,-40.5,-40.5,-40.5,-40.5,19.75,19.75,19.75,19.75,14,7.097366125,0.1363578,7.233723925,0.0533574,7.150723525,14,19.762,19.1,178.65,24.3999995,1794.705,1807.04252,1796.2613665,1721.815,1726.915346,1695.45575,3602.875776,1664.6112905,12.792893885,129.63827115,0.33829686,0.206759129,1715.4141845,3131.855317,1679.371813,14.98015359,112.69048935,0.396137463,0.2421098715,2871.76,1687.18,16.525,103.34,0.435,0.27
