Collector,CRMBatch,CRMCertpHNBS,CRMCertpHSW,CRMCorrection,Date,Intercept,JarID,pH1,pH10_1,pH10_2,pH10_3,pH10Avg,pH2,pH3,pH7_1,pH7_2,pH7_3,pH7Avg,pHAvg,pHChecksNotes,pHCRM_1,pHCRM_2,pHCRM_3,pHCRMAvg,pHCRMNBSCorr,pHNBSCorr,pHSWCorr,Slope,Temp
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J026_B1,11,-169,-169,-170,-169.3333333,9,9,6,6,6,6,9.666666667,,-57,-56,-55,-56,8.060836502,6.937262357,6.689425856,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J026_B1,10,-167,-167,-167,-167,10,10,7,7,7,7,10,,-52,-52,-51,-51.66666667,8.011494253,6.948275862,-1.063218391,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J026_B1,9,-166,-167,-166,-166.3333333,9,9,8,8,8,8,9,,-50,-50,-50,-50,7.998087954,6.982791587,-1.015296367,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J026_B1,11,-166,-166,-166,-166,11,11,7,7,7,7,11,,-51,-51,-51,-51,8.005780347,6.930635838,-1.075144509,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J026_B1,12,-166,-166,-165,-165.6666667,11,11,7,7,8,7.333333333,11.33333333,,-51,-51,-51,-51,8.011560694,6.930635838,-1.080924855,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J029_B3,-34,-169,-169,-170,-169.3333333,-34,-34,6,6,6,6,-34,,-57,-56,-55,-56,8.060836502,7.684410646,7.436574144,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J029_B3,-29,-167,-167,-167,-167,-29,-29,7,7,7,7,-29,,-52,-52,-51,-51.66666667,8.011494253,7.620689655,-0.390804598,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J029_B3,-30,-166,-167,-166,-166.3333333,-30,-30,8,8,8,8,-30,,-50,-50,-50,-50,7.998087954,7.653919694,-0.34416826,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J029_B3,-30,-166,-166,-166,-166,-30,-30,7,7,7,7,-30,,-51,-51,-51,-51,8.005780347,7.641618497,-0.36416185,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J029_B3,-30,-166,-166,-165,-165.6666667,-30,-30,7,7,8,7.333333333,-30,,-51,-51,-51,-51,8.011560694,7.647398844,-0.36416185,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J035_B2,-40,-169,-169,-170,-169.3333333,-40,-40,6,6,6,6,-40,,-57,-56,-55,-56,8.060836502,7.787072243,7.539235741,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J035_B2,-31,-167,-167,-167,-167,-31,-31,7,7,7,7,-31,,-52,-52,-51,-51.66666667,8.011494253,7.655172414,-0.356321839,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J035_B2,-32,-166,-167,-166,-166.3333333,-32,-32,8,8,8,8,-32,,-50,-50,-50,-50,7.998087954,7.68833652,-0.309751434,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J035_B2,-30,-166,-166,-166,-166,-30,-30,7,7,7,7,-30,,-51,-51,-51,-51,8.005780347,7.641618497,-0.36416185,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J035_B2,-31,-166,-166,-165,-165.6666667,-30,-30,7,7,8,7.333333333,-30.33333333,,-51,-51,-51,-51,8.011560694,7.653179191,-0.358381503,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J040_B1,12,-169,-169,-170,-169.3333333,10,10,6,6,6,6,10.66666667,,-57,-56,-55,-56,8.060836502,6.920152091,6.672315589,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J040_B1,11,-167,-167,-167,-167,11,11,7,7,7,7,11,,-52,-52,-51,-51.66666667,8.011494253,6.931034483,-1.08045977,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J040_B1,10,-166,-167,-166,-166.3333333,10,10,8,8,8,8,10,,-50,-50,-50,-50,7.998087954,6.965583174,-1.03250478,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J040_B1,11,-166,-166,-166,-166,11,11,7,7,7,7,11,,-51,-51,-51,-51,8.005780347,6.930635838,-1.075144509,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J040_B1,12,-166,-166,-165,-165.6666667,11,11,7,7,8,7.333333333,11.33333333,,-51,-51,-51,-51,8.011560694,6.930635838,-1.080924855,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J059_B3,-34,-169,-169,-170,-169.3333333,-35,-35,6,6,6,6,-34.66666667,,-57,-56,-55,-56,8.060836502,7.69581749,7.447980989,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J059_B3,-28,-167,-167,-167,-167,-28,-28,7,7,7,7,-28,,-52,-52,-51,-51.66666667,8.011494253,7.603448276,-0.408045977,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J059_B3,-28,-166,-167,-166,-166.3333333,-28,-28,8,8,8,8,-28,,-50,-50,-50,-50,7.998087954,7.619502868,-0.378585086,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J059_B3,-28,-166,-166,-166,-166,-28,-28,7,7,7,7,-28,,-51,-51,-51,-51,8.005780347,7.606936416,-0.398843931,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J059_B3,-28,-166,-166,-165,-165.6666667,-28,-28,7,7,8,7.333333333,-28,,-51,-51,-51,-51,8.011560694,7.612716763,-0.398843931,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J060_B2,-37,-169,-169,-170,-169.3333333,-38,-38,6,6,6,6,-37.66666667,,-57,-56,-55,-56,8.060836502,7.747148289,7.499311787,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J060_B2,-29,-167,-167,-167,-167,-29,-29,7,7,7,7,-29,,-52,-52,-51,-51.66666667,8.011494253,7.620689655,-0.390804598,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J060_B2,-30,-166,-167,-166,-166.3333333,-29,-30,8,8,8,8,-29.66666667,,-50,-50,-50,-50,7.998087954,7.648183556,-0.349904398,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J060_B2,-29,-166,-166,-166,-166,-29,-29,7,7,7,7,-29,,-51,-51,-51,-51,8.005780347,7.624277457,-0.38150289,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J060_B2,-29,-166,-166,-165,-165.6666667,-28,-28,7,7,8,7.333333333,-28.33333333,,-51,-51,-51,-51,8.011560694,7.61849711,-0.393063584,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J078_B1,12,-169,-169,-170,-169.3333333,10,10,6,6,6,6,10.66666667,,-57,-56,-55,-56,8.060836502,6.920152091,6.672315589,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J078_B1,11,-167,-167,-167,-167,11,11,7,7,7,7,11,,-52,-52,-51,-51.66666667,8.011494253,6.931034483,-1.08045977,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J078_B1,11,-166,-167,-166,-166.3333333,11,11,8,8,8,8,11,,-50,-50,-50,-50,7.998087954,6.948374761,-1.049713193,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J078_B1,12,-166,-166,-166,-166,12,12,7,7,7,7,12,,-51,-51,-51,-51,8.005780347,6.913294798,-1.092485549,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J078_B1,12,-166,-166,-165,-165.6666667,11,11,7,7,8,7.333333333,11.33333333,,-51,-51,-51,-51,8.011560694,6.930635838,-1.080924855,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J099_B1,11,-169,-169,-170,-169.3333333,10,9,6,6,6,6,10,,-57,-56,-55,-56,8.060836502,6.931558935,6.683722433,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J099_B1,9,-167,-167,-167,-167,9,9,7,7,7,7,9,,-52,-52,-51,-51.66666667,8.011494253,6.965517241,-1.045977011,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J099_B1,10,-166,-167,-166,-166.3333333,10,10,8,8,8,8,10,,-50,-50,-50,-50,7.998087954,6.965583174,-1.03250478,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J099_B1,11,-166,-166,-166,-166,11,11,7,7,7,7,11,,-51,-51,-51,-51,8.005780347,6.930635838,-1.075144509,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J099_B1,11,-166,-166,-165,-165.6666667,11,11,7,7,8,7.333333333,11,,-51,-51,-51,-51,8.011560694,6.936416185,-1.075144509,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J134_B3,-35,-169,-169,-170,-169.3333333,-35,-35,6,6,6,6,-35,,-57,-56,-55,-56,8.060836502,7.701520913,7.453684411,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J134_B3,-30,-167,-167,-167,-167,-30,-30,7,7,7,7,-30,,-52,-52,-51,-51.66666667,8.011494253,7.637931034,-0.373563218,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J134_B3,-30,-166,-167,-166,-166.3333333,-30,-31,8,8,8,8,-30.33333333,,-50,-50,-50,-50,7.998087954,7.659655832,-0.338432122,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J134_B3,-30,-166,-166,-166,-166,-30,-30,7,7,7,7,-30,,-51,-51,-51,-51,8.005780347,7.641618497,-0.36416185,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J134_B3,-30,-166,-166,-165,-165.6666667,-30,-30,7,7,8,7.333333333,-30,,-51,-51,-51,-51,8.011560694,7.647398844,-0.36416185,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J135_B2,-36,-169,-169,-170,-169.3333333,-37,-37,6,6,6,6,-36.66666667,,-57,-56,-55,-56,8.060836502,7.730038023,7.482201521,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J135_B2,-30,-167,-167,-167,-167,-30,-30,7,7,7,7,-30,,-52,-52,-51,-51.66666667,8.011494253,7.637931034,-0.373563218,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J135_B2,-31,-166,-167,-166,-166.3333333,-31,-31,8,8,8,8,-31,,-50,-50,-50,-50,7.998087954,7.671128107,-0.326959847,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J135_B2,-30,-166,-166,-166,-166,-30,-30,7,7,7,7,-30,,-51,-51,-51,-51,8.005780347,7.641618497,-0.36416185,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J135_B2,-30,-166,-166,-165,-165.6666667,-30,-30,7,7,8,7.333333333,-30,,-51,-51,-51,-51,8.011560694,7.647398844,-0.36416185,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J156_B3,-35,-169,-169,-170,-169.3333333,-35,-34,6,6,6,6,-34.66666667,,-57,-56,-55,-56,8.060836502,7.69581749,7.447980989,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J156_B3,-29,-167,-167,-167,-167,-29,-29,7,7,7,7,-29,,-52,-52,-51,-51.66666667,8.011494253,7.620689655,-0.390804598,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J156_B3,-29,-166,-167,-166,-166.3333333,-29,-29,8,8,8,8,-29,,-50,-50,-50,-50,7.998087954,7.636711281,-0.361376673,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J156_B3,-29,-166,-166,-166,-166,-29,-29,7,7,7,7,-29,,-51,-51,-51,-51,8.005780347,7.624277457,-0.38150289,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J156_B3,-30,-166,-166,-165,-165.6666667,-29,-29,7,7,8,7.333333333,-29.33333333,,-51,-51,-51,-51,8.011560694,7.63583815,-0.375722543,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J162_B1,-32,-169,-169,-170,-169.3333333,-32,-32,6,6,6,6,-32,,-57,-56,-55,-56,8.060836502,7.650190114,7.402353612,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J162_B1,-27,-167,-167,-167,-167,-27,-27,7,7,7,7,-27,,-52,-52,-51,-51.66666667,8.011494253,7.586206897,-0.425287356,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J162_B1,-27,-166,-167,-166,-166.3333333,-27,-27,8,8,8,8,-27,,-50,-50,-50,-50,7.998087954,7.602294455,-0.395793499,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J162_B1,-26,-166,-166,-166,-166,-26,-26,7,7,7,7,-26,,-51,-51,-51,-51,8.005780347,7.572254335,-0.433526012,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J162_B1,-27,-166,-166,-165,-165.6666667,-27,-27,7,7,8,7.333333333,-27,,-51,-51,-51,-51,8.011560694,7.595375723,-0.416184971,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J171_B1,-35,-169,-169,-170,-169.3333333,-34,-34,6,6,6,6,-34.33333333,,-57,-56,-55,-56,8.060836502,7.690114068,7.442277567,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J171_B1,-27,-167,-167,-167,-167,-27,-27,7,7,7,7,-27,,-52,-52,-51,-51.66666667,8.011494253,7.586206897,-0.425287356,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J171_B1,-26,-166,-167,-166,-166.3333333,-27,-27,8,8,8,8,-26.66666667,,-50,-50,-50,-50,7.998087954,7.596558317,-0.401529637,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J171_B1,-27,-166,-166,-166,-166,-27,-27,7,7,7,7,-27,,-51,-51,-51,-51,8.005780347,7.589595376,-0.416184971,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J171_B1,-26,-166,-166,-165,-165.6666667,-26,-26,7,7,8,7.333333333,-26,,-51,-51,-51,-51,8.011560694,7.578034682,-0.433526012,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J201_B2,-36,-169,-169,-170,-169.3333333,-37,-37,6,6,6,6,-36.66666667,,-57,-56,-55,-56,8.060836502,7.730038023,7.482201521,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J201_B2,-32,-167,-167,-167,-167,-32,-32,7,7,7,7,-32,,-52,-52,-51,-51.66666667,8.011494253,7.672413793,-0.33908046,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J201_B2,-31,-166,-167,-166,-166.3333333,-30,-30,8,8,8,8,-30.33333333,,-50,-50,-50,-50,7.998087954,7.659655832,-0.338432122,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J201_B2,-31,-166,-166,-166,-166,-31,-31,7,7,7,7,-31,,-51,-51,-51,-51,8.005780347,7.658959538,-0.346820809,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J201_B2,-32,-166,-166,-165,-165.6666667,-31,-31,7,7,8,7.333333333,-31.33333333,,-51,-51,-51,-51,8.011560694,7.670520231,-0.341040462,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J267_B3,-36,-169,-169,-170,-169.3333333,-35,-35,6,6,6,6,-35.33333333,,-57,-56,-55,-56,8.060836502,7.707224335,7.459387833,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J267_B3,-32,-167,-167,-167,-167,-32,-32,7,7,7,7,-32,,-52,-52,-51,-51.66666667,8.011494253,7.672413793,-0.33908046,-0.017241379,20.2
Ffion,177,,,-7.998087954,20190517,7.137667304,J267_B3,-31,-166,-167,-166,-166.3333333,-32,-31,8,8,8,8,-31.33333333,,-50,-50,-50,-50,7.998087954,7.676864245,-0.321223709,-0.017208413,20.7
Ffion,177,,,-8.005780347,20190524,7.121387283,J267_B3,-31,-166,-166,-166,-166,-31,-30,7,7,7,7,-30.66666667,,-51,-51,-51,-51,8.005780347,7.653179191,-0.352601156,-0.01734104,21.4
Ffion,177,,,-8.011560694,20190531,7.12716763,J267_B3,-31,-166,-166,-165,-165.6666667,-31,-31,7,7,8,7.333333333,-31,,-51,-51,-51,-51,8.011560694,7.664739884,-0.346820809,-0.01734104,18.9
Ffion,177,7.95,7.813,-0.247836502,20190319,7.102661597,J269_B2,-41,-169,-169,-170,-169.3333333,-42,-42,6,6,6,6,-41.66666667,,-57,-56,-55,-56,8.060836502,7.815589354,7.567752852,-0.017110266,20.4
Ffion,177,,,-8.011494253,20190510,7.120689655,J269_B2,-33,-167,-167,-167,-167,-34,-34,7,7,7,7,-33.66666667,,-52,-52,-51,-51.66666667,8.011494253,7.701149425,-0.310344828,-0.017241379,20.2
