"","Parameter","Statistic","Control","OA"
"1","CALCULATED PARAMETERS","","",""
"2","pCO2(gas-e)","(ppm-v)","2827","572"
"3","","SD","360","107"
"4","","Range","2426-3465","442-727"
"5","","n","8","8"
"6","TA","(uM)","1566","1433"
"7","","SD","109","57"
"8","","Range","1421-1782","1350-1506"
"9","","n","8","8"
"10","[CO32-]","(uM)","15","53"
"11","","SD","2","9"
"12","","Range","12-17","42-66"
"13","","n","8","8"
"14","[HCO3-]","(uM)","1567","1322"
"15","","SD","102","54"
"16","","Range","1446-1770","1245-1385"
"17","","n","8","8"
"18","[CO2](aq)","(uM)","101","20"
"19","","SD","13","4"
"20","","Range","87-123","16-26"
"21","","n","8","8"
"22","SatCalcite","","0.391","1.41"
"23","","SD","0.046","0.229"
"24","","Range","0.31-0.44","1.11-1.74"
"25","","n","8","8"
"26","SatAragonite","","0.239","0.864"
"27","","SD","0.03","0.14"
"28","","Range","0.19-0.27","0.68-1.07"
"29","","n","8","8"
"30","MEASURED PARAMETERS","","",""
"31","salinity","(ppt)","19.7","19.7"
"32","","SD","0.1","0.1"
"33","","Range","19.6-19.8","19.6-19.8"
"34","","n","8","8"
"35","Temperature","(C)","19.3","19.6"
"36","","SD","0.3","0.3"
"37","","Range","19-19.8","19-19.9"
"38","","n","8","8"
"39","pH","(Total)","7.05","7.7"
"40","","SD","0.05","0.05"
"41","","Range","6.98-7.12","7.65-7.77"
"42","","n","8","8"
"43","DIC","(uM)","1683","1396"
"44","","SD","110","55"
"45","","Range","1549-1901","1318-1461"
"46","","n","8","8"
"47","TA","(uM)","1603","1454"
"48","","SD","104","55"
"49","","Range","1481-1809","1387-1538"
"50","","n","8","8"
