date,Tank,ParentTrt,mV_1,mV_2,mV_3,mV_mean,salinity_1,salinity_2,salinity_3,sal_mean,pH_batch,pH_meas,NBScorr,pHNBS,Swcorr,pHSW,salinity_batch,salinity,temperature,Exposure_vals,Block,bottle_sample,bottle_ID_AUTO,rundate_DDMMMYYYY,Ries_ID_AUTO,Actual_Ries_ID,Recalculated,Flag,UseForCalcite,mV,VindtaTemp,DIC_raw,DIC_corr,DIC_fromAlk,Alk_raw,Alk_corr,AT_Calc_NBS,pCO2_NBS,HCO3_NBS,CO3_NBS,CO2_NBS,SatCalcite_NBS,SatArag_NBS,AT_Calc_SW,pCO2_SW,HCO3_SW,CO3_SW,CO2_SW,SatCalcite_SW,SatArag_SW,pCO2_ATDIC,HCO3_ATDIC,CO3_ATDIC,CO2_ATDIC,SatCalcite_ATDIC,SatArag_ATDIC
20180608,1,2600,-40,-40,-40,-40,NA,NA,NA,NA,1,7.085714286,NA,NA,NA,NA,NA,NA,NA,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,2,2600,-41,-40,-41,-40.66666667,NA,NA,NA,NA,1,7.097142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,3,2600,-41,-41,-41,-41,NA,NA,NA,NA,1,7.102857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180617,4,400,-63,-63,-63,-63,19.9,19.8,19.8,19.83333333,9,7.482758621,0.1362428,7.619001421,-0.138150177,7.480851243,9,19.74533333,19.4,EXPOSURE,B1,TRUE,L18_A_20180617_4,12-Jul-18,L18_A_20180617_4_12Jul2018,L18_A_20180617_04,L18_Recalc_19Jul18,F,F,NA,NA,1466.95,1466.744693,NA,NA,NA,1461.106079,1247.68001,1395.936188,26.29336009,44.51514787,0.696314388,0.425727467,1463.0,1218.901605,1396.327089,26.92922483,43.48838224,0.713153687,0.436023035,NA,NA,NA,NA,NA,NA
20180617,12,400,-64,-64,-64,-64,19.6,19.6,19.6,19.6,9,7.5,0.1348628,7.6348628,-0.138150177,7.496712623,9,19.54533333,19.5,NA,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180615,4,400,-63,-63,-63,-63,20,19.9,19.9,19.93333333,7,7.499043977,0.1378528,7.636896777,-0.138150177,7.4987466,7,19.97866667,19.9,PRE-EXPOSURE,B1,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,7,2600,-51,-51,-51,-51,22.1,22.1,22.1,22.1,1,7.274285714,0.1518828,7.426168514,-0.138150177,7.288018337,1,22.012,20.2,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,8,2600,-53,-53,-53,-53,22.1,22.1,22.1,22.1,1,7.308571429,0.1518828,7.460454229,-0.138150177,7.322304051,1,22.012,19.7,NA,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,9,2600,-54,-54,-54,-54,22.1,22,22.1,22.06666667,1,7.325714286,0.1518828,7.477597086,-0.138150177,7.339446908,1,22.012,19.3,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180615,6,400,-63,-63,-63,-63,19.9,19.9,19.9,19.9,7,7.499043977,0.1378528,7.636896777,-0.138150177,7.4987466,7,19.97866667,19.8,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180615,5,400,-64,-64,-64,-64,20,19.9,19.9,19.93333333,7,7.51625239,0.1378528,7.65410519,-0.138150177,7.515955013,7,19.97866667,19.7,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180617,11,400,-65,-65,-65,-65,20,20,20,20,9,7.517241379,0.1376228,7.654864179,-0.138150177,7.516714002,9,19.94533333,19.5,NA,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,13,2600,-40,-40,-40,-40,22.1,22,22,22.03333333,1,7.085714286,0.1511928,7.236907086,-0.138150177,7.098756908,1,21.912,19.4,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,14,2600,-39,-39,-39,-39,22,22,22,22,1,7.068571429,0.1511928,7.219764229,-0.138150177,7.081614051,1,21.912,19.4,NA,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,15,2600,-39,-39,-39,-39,22.2,22.2,22.2,22.2,1,7.068571429,0.1525728,7.221144229,-0.138150177,7.082994051,1,22.112,19.5,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180617,10,400,-65,-66,-66,-65.66666667,19.6,19.6,19.6,19.6,9,7.528735632,0.1348628,7.663598432,-0.138150177,7.525448255,9,19.54533333,19.5,EXPOSURE,B1,TRUE,L18_A_20180617_10,19-Jul-18,L18_A_20180617_10_19Jul2018,L18_A_20180617_10_06Jul2019,L18_Recalc_06Jul19,F,F,175.55,24.433001,1386.19,1391.431901,1371.659606,1348.94,1352.594186,1394.514038,1072.827051,1325.653933,27.56881329,38.20915237,0.731402198,0.446745156,1396.4,1047.247045,1325.881868,28.25192064,37.2981105,0.749525075,0.457814726,1780.51,1311.75,16.26,63.41,0.43,0.26
20180618,4,400,-63,-63,-63,-63,19.9,19.9,19.8,19.86666667,8,7.534883721,0.1373928,7.672276521,-0.138150177,7.534126344,8,19.912,19.3,PRE-EXPOSURE,B1,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180618,5,400,-63,-63,-63,-63,19.9,19.9,19.8,19.86666667,8,7.534883721,0.1373928,7.672276521,-0.138150177,7.534126344,8,19.912,19.1,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,19,2600,-35,-35,-35,-35,21.5,21.4,21.4,21.43333333,1,7,0.1470528,7.1470528,-0.138150177,7.008902623,1,21.312,20.4,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,20,2600,-35,-35,-35,-35,21.4,21.4,21.3,21.36666667,1,7,0.1463628,7.1463628,-0.138150177,7.008212623,1,21.212,20.6,NA,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,21,2600,-36,-35,-35,-35.33333333,21.4,21.5,21.5,21.46666667,1,7.005714286,0.1477428,7.153457086,-0.138150177,7.015306908,1,21.412,20.8,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180618,6,400,-63,-63,-63,-63,20,19.9,19.8,19.9,8,7.534883721,0.1373928,7.672276521,-0.138150177,7.534126344,8,19.912,19.3,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180617,22,400,-67,-66,-66,-66.33333333,19.9,19.9,19.9,19.9,9,7.540229885,0.1369328,7.677162685,-0.138150177,7.539012508,9,19.84533333,20,EXPOSURE,B1,TRUE,L18_A_20180617_22,3-Jul-18,L18_A_20180617_22_03Jul2018,L18_A_20180617_22_03Jun2018,L18_Recalc_03Jul18,F,F,155.2,25.062,1397.08,1395.511077,1371.985214,1411.98,1418.622592,1402.885986,1044.441811,1329.53031,29.3661065,36.61467492,0.778784561,0.477112551,1404.9,1018.097578,1329.68688,30.13307803,35.69113327,0.799124527,0.489573575,859.78,1329.69,35.68,30.14,0.95,0.58
20180620,22,400,-64,-64,-64,-64,19.3,19.3,19.3,19.3,11,7.558139535,0.1334828,7.691622335,-0.138150177,7.553472157,11,19.34533333,19.3,PRE-EXPOSURE,B1,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,25,Acclimation,-8,-7,-7,-7.333333333,21,21,20.9,20.96666667,1,6.525714286,0.1436028,6.669317086,-0.138150177,6.531166908,1,20.812,NA,ACCLIMATION,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
