"","JarID","FemaleID","CrossID","LarvaeAreaPix2","LarvaeAreaum2","LarvaeCompactness","LarvaeDiamPix","LarvaeDiamum","LarvaeEccentricity","LarvaeExtent","LarvaeFormFactor","LarvaeImageID","LarvaeMajorAxisLengthPix","LarvaeMaxRadiusPix","LarvaeMeanRadiusPix","LarvaeMedianRadiusPix","LarvaeMinDiamPix","LarvaeMinorAxisLengthPix","LarvaeMorphID","LarvaeMorphNotes","LarvaePerimeterPix","LarvaePerimeterum","LarvaePixPerum","LarvaeSolidity","BarcodeJar","BarcodeJarNotes","JarSeatable","JarTrt","Larvae","AbnormalCount","BlockID.x","CrossType","FertNormalCount","FertQGNotes","FertVolumemL","LarvaePermL","mLFor995Zygotes","mLJarActual","PercentFert","PersonFert","SedgewickAreauL","TimeFertCount","TotalLarvaeMethylation75mL","TotalLarvaeMethylationRemaining","TotalmL","UnfertCount","Key","CrossNotes","DateCross","DateMethFreeze","LarvaeDNAAgeHours","MaleID","QGMeth","TimeCross","TimeMethFreeze","AdultID","BlockID.y","DateSampGonadMantle","GameteSample","GameteSampleID","GonadAmount","GonadDNA","GonadDNAID","MantleDNA","MantleDNAID","Ooze","ParentIDNotes","ParentTrt","Sex","SpermActivity","TimeGametesStripped","TimeSampGonad","AccTankID","AccTankOrder","AdultDateAcclimation","AdultDateCollected","AdultDateExposed","AdultLength","AdultSampleNotes","AdultTotalWeight","AdultTrt","AdultWidth","TrtTankID","TrtTankOrder","EggAreaPix2","EggAreauM2","EggCenterXPix","EggCenterYPix","EggCompactness","EggDiameteruM","EggEccentricity","EggEulerNumber","EggExtent","EggFormFactor","EggLocationCenterXPix","EggLocationCenterYPix","EggMajorAxisLengthPix","EggMaxFeretDiameterPix","EggMaxRadiusPix","EggMeanRadiusPix","EggMedianRadiusPix","EggMinFeretDiameterPix","EggMinorAxisLengthPix","EggObjectNumber","EggOrientation","EggPerimeterPix","EggSolidity","BottleChemistry","BottleID","DateFilter","DateFixed","JarATCorr","JarATRaw","JarATRecal","JarCalcpH","JarDICCorr","JarDICFromAT","JarDICRaw","JarOmegaArg","JarOmegaCalcite","JarpCO2","JarpH","JarTemp","LarvaeWCNotes","mV1","mV2","mV3","pHBatch","Recalculated","TimeFilter","TimeFixed","TubeID"
"JarID",1,-0.0162640772075177,-0.0156196451828125,0.0863051590152195,0.0654422931968682,0.0264293442338783,0.103091434116852,0.072123716617299,0.00964406374315902,-0.0126469599742134,-0.110950434847226,-0.168668667279273,0.0965121607293682,0.0893035641246544,0.088833409538577,0.0893854794231271,0.0942349115679762,0.0948962258315054,0.99999585954567,NA,0.102345102836346,0.0721763327689999,0.104090927615552,-0.0854143691006287,0.999908230467332,0.0785105976331484,0.940925053521754,-0.0209016916509651,NA,0.0189909482256367,-0.0153118603367602,0.0098889630244566,-0.0291951648656214,0.00753852766461815,-0.0090160167866177,-0.00287942606732692,0.0174146929682837,NA,-0.0169954017510525,-0.0261125192619912,0.0247571853008134,-0.0310123159152915,-0.00287944695404613,-0.00295470827226653,0.017414692970689,0.0128307297353346,NA,-0.0110715469486599,-0.0153118603367602,-0.012346669209213,NA,0.0114880548904279,0.0090160167866177,NA,NA,0.000208008636835435,-0.0153118603367602,-0.0153118603367602,NA,0.013729571084752,NA,NA,0.000406597177965099,NA,0.000208008636835435,NA,-0.00727290568998375,0.0098889630244566,NA,NA,NA,NA,0.0196031671418007,0.023991072754632,-0.0153118603367602,-0.0153118603367602,-0.0153118603367602,0.00934903208573202,NA,0.0253118583621346,0.0098889630244566,0.0261202029119564,0.00362498777182673,0.0083007643700327,0.0080799718765517,0.00807997188344384,-0.0143649584201754,0.0257494563804958,0.00295710936302355,0.0083770031663653,0.00736347500752873,NA,-0.0178449483992384,-0.0375658114620997,-0.0131932253944938,0.0261822189270223,0.00907077730837202,0.00837700318097189,-0.000566087042572964,0.00205126899386443,0.00377876519087563,0.000652708918021467,0.000725176051674884,NA,0.0151462243502296,0.0102726522126151,-0.0476456313725449,0.103341262078427,NA,-0.0153118603367602,-0.0153118603367602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0391935808143814,0.124412819279726,0.0625136456936568,-0.0441348115163228,-0.0476238323849244,-0.0503513471382311,0.850867733265512,NA,0.982790761814237,0.813290967012735,0.999910622976259
"FemaleID",-0.0162640772075177,1,0.991518205679119,0.00319115830784609,-0.00301407235364875,0.049952674448798,0.015421811283512,0.00650005428071594,0.0563132121701089,0.00664818920100556,0.0364374524002441,-0.00804433553377574,0.0160367610247656,0.000934722518692581,0.00726339169681046,0.00868641407361128,0.00109519081943808,-0.00406595648292809,-0.0162385236307172,NA,0.00387438074313272,-0.00568680594654511,0.0270056163339875,0.0833102956149436,-0.018371788912902,-0.0299319088313344,0.00707931151727594,0.0652142620839907,NA,-0.401491369050792,0.139333413463651,0.887157146718214,-0.044298732716299,-0.0671376742720825,-0.0853312387589767,-0.0662992679748908,0.0609790652899216,NA,-0.0819041460909071,-0.198730074008897,-0.00649150109753099,0.106282641498995,-0.0662993505831703,-0.0629792605661302,0.0609790653451999,0.201583906672838,NA,-0.00511610151365366,0.139333413463651,0.138128450749627,NA,0.830984177149823,0.0853312387589767,NA,NA,0.0305652304408951,0.139333413463651,0.139333413463651,NA,-0.0349375394410012,NA,NA,0.0335591268911114,NA,0.0305652304408951,NA,0.178479337769225,0.887157146718214,NA,NA,NA,NA,0.801173702714812,0.0541341351031549,0.139333413463651,0.139333413463651,0.139333413463651,-0.0965238149332989,NA,-0.200214178608157,0.887157146718214,-0.0231808362038853,-0.173613566732625,0.088707411911871,-0.3395310578395,-0.33953105817908,0.308450341917225,-0.335955413545974,0.267585700734299,-0.200743357288417,0.21627115152676,NA,-0.133902232649472,0.173091004091406,0.316905708403456,-0.335033359769943,-0.195136199839636,-0.200743357546459,-0.464428492168582,-0.362893551424051,-0.343319679233717,-0.461894394586256,-0.459880860006628,NA,-0.151074789029518,-0.331527543388807,0.437600974230935,-0.00587551266382263,NA,0.139333413463651,0.139333413463651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0477619973298097,-0.0188458376058742,0.0288544365849335,0.0174825701733622,0.0160748949943666,0.0181684223431048,-0.0522991185858665,NA,-0.0306170771279982,-0.0852317403022452,-0.0181229115399599
"CrossID",-0.0156196451828125,0.991518205679119,1,0.00992963572352514,0.00413882533165538,0.0430788587130932,0.0207600915491471,0.0127021009768302,0.0511216554023419,0.00792259156732579,0.0354945694297509,-0.0105626824416514,0.0210141288127421,0.00792578885529319,0.013621619587843,0.0148666488268508,0.00802249451719183,0.00318094852464215,-0.0155739036472927,NA,0.0101809523047105,0.0015028900456957,0.0259433163703388,0.0835840950423635,-0.0177864007669747,-0.0304532855360259,0.00704976253739934,0.0528749418061994,NA,-0.380781805303336,0.112750713623206,0.859224863196566,-0.0659013801369937,-0.0955376250625646,-0.0812695729907118,-0.0920968096515547,0.0832390216201862,NA,-0.0618709755216194,-0.177941385949021,0.027646595380233,0.120424274902658,-0.0920968964172583,-0.0885440862131626,0.0832390216819003,0.175981981330626,NA,-0.023107968534444,0.112750713623206,0.121380598314817,NA,0.815595110184645,0.0812695729907118,NA,NA,0.02105552230974,0.112750713623206,0.112750713623206,NA,-0.0097988564323494,NA,NA,0.0240584526253717,NA,0.02105552230974,NA,0.175926587958948,0.859224863196566,NA,NA,NA,NA,0.803513949552391,0.112835385279844,0.112750713623206,0.112750713623206,0.112750713623206,-0.0851382297020592,NA,-0.194422559507633,0.859224863196566,-0.0151536339331149,-0.15776756465006,0.0986831882098717,-0.313956936642801,-0.31395693700202,0.311138879128743,-0.345904258901873,0.237518133188672,-0.187510536163046,0.184935829835377,NA,-0.109471443203568,0.169622275434821,0.318772236098756,-0.343795446556814,-0.181521322425244,-0.187510536429009,-0.436126626996304,-0.331600352738065,-0.314096553123048,-0.433227720627679,-0.431849226049032,NA,-0.162508182794711,-0.306035609404405,0.437334614925209,-0.0148731964040503,NA,0.112750713623206,0.112750713623206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0344132557648372,-0.0295676632738701,0.0201397300471098,0.0106428734105106,0.00886541006264695,0.0110844856091119,-0.0510061658791083,NA,-0.0289680534198678,-0.0703282156671726,-0.0175850924403134
"LarvaeAreaPix2",0.0863051590152195,0.00319115830784609,0.00992963572352514,1,0.966565914804509,-0.045259420055362,0.976201112761703,0.947866529746702,0.0511470730064559,-5.29288236751593e-05,-0.000891200303283258,-0.243196561872477,0.977129663911874,0.978723097983711,0.990525535110956,0.991180193471163,0.974664238472654,0.979565448356446,0.0862473101241882,NA,0.991874722368224,0.964052662967535,0.311048966239399,0.0922989229803137,0.0861339160039423,0.0215338881786687,0.0592398370619011,-0.725873581726509,NA,-0.0266706668408974,-0.169827932447392,-0.01252599337274,0.0293418386275856,-0.0492036696198772,-0.06178801893688,0.0212803773506362,-0.0765947814930796,NA,0.154842822074167,0.0827187141018203,0.0203076637982287,0.0985351244025314,0.021280338970643,0.0203720138969643,-0.0765947814836663,-0.108325198147095,NA,0.0158830099436296,-0.169827932447392,-0.164048187901072,NA,-0.0108534457563492,0.06178801893688,NA,NA,-0.105928974467254,-0.169827932447392,-0.169827932447392,NA,0.134448502864023,NA,NA,-0.10371434556386,NA,-0.105928974467254,NA,0.0219919991341125,-0.01252599337274,NA,NA,NA,NA,-0.0115911997047083,-0.00137622373561172,-0.169827932447392,-0.169827932447392,-0.169827932447392,-0.0332737271211477,NA,-0.0574641798830388,-0.01252599337274,-0.0320638516430211,-0.0780805221979584,-0.0680565691848736,0.105881568798072,0.105881568785374,0.00361703227653656,0.126478234573273,-0.00621477433049506,0.0853609240878613,-0.0314998720301551,NA,0.0297856139390716,-0.0347002846528326,0.00567447845208103,0.129016925672464,0.0867440611903611,0.0853609241181682,0.0820979458194154,0.0991772707340881,0.106801386318225,0.0797571195279455,0.0738092756176098,NA,-0.0137171605563249,0.106009150225864,-0.00519344049601778,-0.0106042993003179,NA,-0.169827932447392,-0.169827932447392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.276487709242438,-0.0230531200481749,0.0087509757955003,-0.730679216544174,-0.731459066924549,-0.731240176409895,0.126319303744114,NA,0.0799233137666729,0.162385391851124,0.0858324691532324
"LarvaeAreaum2",0.0654422931968682,-0.00301407235364875,0.00413882533165538,0.966565914804509,1,-0.0491417576422314,0.913316179330074,0.98037142051688,0.054277797827526,0.00200601394960355,0.00846762023376338,-0.183981412771841,0.918473459975886,0.920869547673264,0.932099705725866,0.932333514263184,0.914015384615499,0.92097565757663,0.0653545304253318,NA,0.932322617280246,0.997107005129056,0.0594178398990305,0.0766097737938171,0.0657667451548397,0.021115002948548,0.0455199086849716,-0.743613929487709,NA,-0.0347818233498672,-0.183761361585893,-0.0116967090671401,0.0423505158221872,-0.0571845211992628,-0.0657243672301238,0.0197853362871538,-0.0894132328779032,NA,0.172377085315238,0.0726540989362461,0.0234414451412417,0.0739524960487054,0.019785300392109,0.0187282453722229,-0.0894132328689736,-0.120583070209299,NA,0.0042435476146868,-0.183761361585893,-0.171440740604549,NA,-0.0041887995164413,0.0657243672301238,NA,NA,-0.111890556743901,-0.183761361585893,-0.183761361585893,NA,0.147631620644575,NA,NA,-0.109882618111774,NA,-0.111890556743901,NA,0.0218486742120894,-0.0116967090671401,NA,NA,NA,NA,-0.00924060602107501,0.00218425144368661,-0.183761361585893,-0.183761361585893,-0.183761361585893,-0.0132236913186237,NA,-0.0314084754160307,-0.0116967090671401,-0.0119079208577475,-0.0790611457973138,-0.0674800678527519,0.0966937786811466,0.0966937786546583,0.0106187406843358,0.143618957127194,-0.00575080208729511,0.0801382576126871,-0.0281027131569855,NA,0.018910061196114,-0.0291062317867063,0.0131038577523856,0.146131469769246,0.0811620824619278,0.080138257641731,0.0705712998511081,0.085117093902932,0.0938310791209227,0.0677971291951676,0.0613255000001173,NA,-0.0376282562646603,0.0959913742145978,-0.012069058570467,-0.0148533276490496,NA,-0.183761361585893,-0.183761361585893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281457036136852,-0.0275398006801169,0.00820032769975071,-0.745316109088965,-0.745718934732238,-0.745512796745993,0.121993028196418,NA,0.0567481200807668,0.149724481317483,0.0654397485986424
"LarvaeCompactness",0.0264293442338783,0.049952674448798,0.0430788587130932,-0.045259420055362,-0.0491417576422314,1,0.0925230753288541,0.0992468264237735,0.853733684278437,-0.0855984339824731,-0.503128786513934,0.0106170428484805,0.12058596973787,-0.191500912771731,-0.0972116683154634,-0.0781883877554004,-0.197224032548102,-0.192180729463,0.0264642074150685,NA,-0.0132569504609402,-0.0172209194066966,0.00626221265228465,-0.204220662362113,0.0259001998790806,0.005945999401029,0.0340770338791369,0.0451392935772344,NA,-0.0291051749137162,0.187175919871077,0.0539396123194706,0.0296133571971571,-0.0311289799320073,-0.00981918498022843,-0.0164454942385284,0.00428555304941299,NA,-0.0332243875798552,-0.0574710144742961,-0.0153359562898585,-0.0525370525646439,-0.0164454767786889,-0.0160270173955384,0.00428555304226798,0.0262119447230652,NA,-0.0516051144353598,0.187175919871077,0.183323571674284,NA,0.0667564838804546,0.00981918498022844,NA,NA,0.131155849171846,0.187175919871077,0.187175919871077,NA,-0.176853234762897,NA,NA,0.129581919109987,NA,0.131155849171846,NA,0.0167880487172923,0.0539396123194706,NA,NA,NA,NA,0.0339534279223594,-0.0290495286328768,0.187175919871077,0.187175919871077,0.187175919871077,-0.0724531430973714,NA,-0.0529627268993957,0.0539396123194706,-0.0963260742502068,-0.0327836538268372,-0.0343949621373622,-0.0522626451958742,-0.0522626451713206,0.0367528977566261,-0.101983670373796,0.0257278226479254,-0.0327397817275786,0.0208824022836994,NA,0.0163342510076436,0.0159245750715461,0.0381086526205778,-0.102981657465789,-0.0338465589910881,-0.0327397816858218,-0.0494715025190798,-0.0490546904350602,-0.0522931453651431,-0.0495080872833219,-0.0483047811903825,NA,0.0408821292938335,-0.0570331509894297,0.0109495602302559,0.0175954476540719,NA,0.187175919871077,0.187175919871077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0156212934284269,0.0196191746830932,0.0254067781158018,-0.023747387447885,-0.0252034262870716,-0.0256686422943607,-0.0382497635001186,NA,0.0176620476983751,-0.0789032192173526,0.0262360411154077
"LarvaeDiamPix",0.103091434116852,0.015421811283512,0.0207600915491471,0.976201112761703,0.913316179330074,0.0925230753288541,1,0.931256481791102,0.184882709223214,-0.00852407640422076,-0.0601963706002,-0.266991991053561,0.995249610848802,0.952431299044981,0.976436952817497,0.979612590729938,0.948069332495652,0.947405201081321,0.103041292814098,NA,0.987733496699663,0.918224264552893,0.418749899421483,0.0871933051740217,0.10271050766724,0.0254440932081557,0.0756736227028168,-0.665773119392907,NA,-0.0248420846760625,-0.149280927656689,-0.00203115739025536,0.0342118360421392,-0.0514383443292864,-0.0636067253432442,0.0204290532813709,-0.0772576817550553,NA,0.147111125168344,0.0856182173075273,0.0155495862792231,0.106455492195383,0.0204290175022374,0.0195856675146453,-0.0772576817461314,-0.101757624524664,NA,0.0134777025106219,-0.149280927656689,-0.146149832919318,NA,-0.000670500634938799,0.0636067253432442,NA,NA,-0.0921277427438387,-0.149280927656689,-0.149280927656689,NA,0.115327195955547,NA,NA,-0.0897598513949877,NA,-0.0921277427438387,NA,0.0206034932862618,-0.00203115739025536,NA,NA,NA,NA,-0.00732451282508542,-0.0121550025311748,-0.149280927656689,-0.149280927656689,-0.149280927656689,-0.0507003487790305,NA,-0.0726834908937865,-0.00203115739025536,-0.0499338719084412,-0.0917998062247268,-0.0807839452052724,0.0939743057532825,0.0939743057571932,0.0100537579725255,0.113910629146721,-0.00760585941124938,0.0732047364172546,-0.0387518189342852,NA,0.0389885678938454,-0.0331809717594548,0.0122975041159969,0.116630805744202,0.0744589880106655,0.0732047364584464,0.0727492339809857,0.0908234163420591,0.0971746042476721,0.0705362807411875,0.0653860781495182,NA,0.00373754464741083,0.0939798913482301,-0.00186271984608355,-0.00964619637569394,NA,-0.149280927656689,-0.149280927656689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250377874040226,-0.0213285198767175,0.0105455157386369,-0.673499184321795,-0.674765228183719,-0.674684504483708,0.131200481050995,NA,0.0986291666244914,0.166333466941691,0.102446336703602
"LarvaeDiamum",0.072123716617299,0.00650005428071594,0.0127021009768302,0.947866529746702,0.98037142051688,0.0992468264237735,0.931256481791102,1,0.204163862721823,-0.00627899484207938,-0.0517191753092283,-0.183197479794322,0.932297402315379,0.886468657251599,0.911064538025096,0.913857963684921,0.877772110909751,0.879742056194548,0.0720290051749651,NA,0.92163120271559,0.985278821423119,0.05992774874215,0.0653547282423499,0.0724438101497267,0.025617130879392,0.0544707509623941,-0.705758379714416,NA,-0.0368800104927287,-0.175341913568915,-0.00162576593258208,0.0536628467447147,-0.0646015867521694,-0.0715335884035879,0.0195888269757571,-0.0989385254219591,NA,0.175980528493469,0.0733186111142445,0.0187248867481394,0.0748253823994213,0.0195887942286341,0.0184943187782625,-0.0989385254129015,-0.121811321097741,NA,-0.00294969408942287,-0.175341913568915,-0.162338066667743,NA,0.00857872827401844,0.0715335884035879,NA,NA,-0.104260210162255,-0.175341913568915,-0.175341913568915,NA,0.139627458167029,NA,NA,-0.1021583981839,NA,-0.104260210162255,NA,0.0198445086706375,-0.00162576593258208,NA,NA,NA,NA,-0.00437975195418785,-0.00647948243737838,-0.175341913568915,-0.175341913568915,-0.175341913568915,-0.022667183322575,NA,-0.0372964223225967,-0.00162576593258208,-0.0208827700713411,-0.0952345333767792,-0.0817118697543736,0.0814868660796524,0.081486866063365,0.0212752325822453,0.14335197832902,-0.00893436718993476,0.0653867525432358,-0.0370345882952526,NA,0.0266801462558108,-0.0237594852637366,0.0242233560939886,0.146142155989594,0.0661950171933701,0.065386752584782,0.057353829507653,0.0718276927894678,0.0796890988391327,0.0543328215434163,0.0483269923097739,NA,-0.0303708021925578,0.0801392857512088,-0.0106533074358291,-0.0163493286835891,NA,-0.175341913568915,-0.175341913568915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262712441089004,-0.0287394448622896,0.00939698949945552,-0.708189516983024,-0.708851901143126,-0.708789270035173,0.125995196867754,NA,0.0644794999266742,0.15078222133178,0.0721320845148228
"LarvaeEccentricity",0.00964406374315902,0.0563132121701089,0.0511216554023419,0.0511470730064559,0.054277797827526,0.853733684278437,0.184882709223214,0.204163862721823,1,-0.0347855151779346,-0.247809380303487,-0.00647759068505867,0.221788707165584,-0.0838469598662397,0.0203827795479388,0.0360574310481987,-0.109217861089518,-0.112804692999329,0.0096994665262997,NA,0.0691519943019928,0.0761348925418172,-0.00192223621689504,0.0249227846656971,0.00937815867919883,0.0219150606053718,0.0211244516281249,-0.0055145914636247,NA,-0.0261528162678166,0.0882493722148176,0.049847077264758,0.0541025403429104,-0.0286055717524775,-0.0248722787909706,0.0139212364825396,-0.0492539331889255,NA,0.0216877061003029,-0.0273618172261314,-0.0439320783406149,-0.00336769312799533,0.0139212667445252,0.0141928406186406,-0.0492539331879163,-0.017293111798573,NA,-0.0460521194025137,0.0882493722148176,0.0910848850896116,NA,0.0593331773272334,0.0248722787909706,NA,NA,0.054931743317433,0.0882493722148176,0.0882493722148176,NA,-0.087875074975834,NA,NA,0.0538807172657543,NA,0.054931743317433,NA,-0.00677478887336285,0.049847077264758,NA,NA,NA,NA,0.0327217121482997,-0.023899360422281,0.0882493722148176,0.0882493722148176,0.0882493722148176,-0.0574104259302947,NA,-0.0408610290945743,0.049847077264758,-0.0609503992006331,-0.0721131928577665,-0.0667053104975788,-0.079616612919483,-0.0796166128925417,0.0677049594894772,-0.0449232320794289,0.0115008136001344,-0.0661702860109177,-0.00748317086932996,NA,0.0117535429998827,0.0400896157187346,0.0689842926279371,-0.0452200235502477,-0.0675246290519785,-0.0661702859617889,-0.0754285964520897,-0.0772852115197145,-0.0786812751799412,-0.0776027302347985,-0.0782074929637977,NA,0.0162942390853505,-0.0847690007747979,0.0266755374196193,0.0112392146936749,NA,0.0882493722148176,0.0882493722148176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0105383255808309,0.0119076693967079,0.0216614024915072,-0.0434573900816281,-0.0440528400584403,-0.0446603394086376,-0.027096961821387,NA,0.00499601700020668,-0.0409123528331586,0.00953641606682402
"LarvaeExtent",-0.0126469599742134,0.00664818920100556,0.00792259156732579,-5.29288236751593e-05,0.00200601394960355,-0.0855984339824731,-0.00852407640422076,-0.00627899484207938,-0.0347855151779346,1,0.283683849065659,0.0182760025200951,-0.00657284339993244,0.0090009863035709,0.0132343433693987,0.0113938711994218,-0.00329316164899782,0.00713639186270478,-0.0126463314000064,NA,-0.0137689724152689,-0.0122354024911104,-0.00726246033395122,0.178293608983002,-0.0124492810610818,0.0232931223283628,0.00432863663581496,0.0152757731427083,NA,-0.0341619916737554,0.0225985368741956,-0.00923412237580832,0.0259056244269555,-0.0151841692931423,-0.00570174193762348,0.00680000985849015,-0.0215410699070088,NA,0.0310035271796882,0.0113872503413841,-0.011206322652181,-0.0101933748078248,0.00680001831924743,0.00708380273533634,-0.0215410699179799,-0.0222388955573299,NA,-0.0261881197765664,0.0225985368741956,0.0272110656514253,NA,-0.00467841948660986,0.00570174193762348,NA,NA,0.00812414424183852,0.0225985368741956,0.0225985368741956,NA,-0.0263060428615114,NA,NA,0.00762153834397709,NA,0.00812414424183852,NA,0.00638257832012219,-0.00923412237580832,NA,NA,NA,NA,-0.0111286622701494,-0.0066763026092806,0.0225985368741956,0.0225985368741956,0.0225985368741956,0.0046178763812602,NA,-0.0124187655802226,-0.00923412237580832,-0.0103529377720112,-0.00888301218632945,-0.0141866860351219,0.0128639842019619,0.0128639842122049,0.0204696849805186,-0.0285115545056656,0.017053031253916,0.0116755103345508,0.0103769031507176,NA,0.00445778941807224,-0.00408614075245136,0.0191107412632228,-0.0287216751918142,0.0102261824027221,0.0116755103375639,0.00649550924028968,0.0124828160749668,0.014185849592071,0.00688001413349645,0.00553057677111707,NA,0.0116832480473393,0.0135397739096568,0.0156304647165079,0.0223362480625593,NA,0.0225985368741956,0.0225985368741956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0174031198301228,0.0267346445189824,0.0172369597981939,0.00415374671098205,0.00523979252354255,0.00495209585647879,-0.0137621373793299,NA,-0.00947493015381593,-0.0207833786749629,-0.0124091977941683
