"","JarID","ParentTrt","FemaleID","MaleID","JarSeatable","LarvaeAreaPix2","LarvaeAreaum2","LarvaeCompactness","LarvaeDiamPix","LarvaeDiamum","LarvaeEccentricity","LarvaeExtent","LarvaeFormFactor","LarvaeImageID","LarvaeMajorAxisLengthPix","LarvaeMaxRadiusPix","LarvaeMeanRadiusPix","LarvaeMedianRadiusPix","LarvaeMinDiamPix","LarvaeMinorAxisLengthPix","LarvaePerimeterPix","LarvaePerimeterum","LarvaePixPerum","LarvaeSolidity","DateFixed","mV1","mV2","mV3","AveragemV","JarpH_raw","JarNBSCorrection","JarpHNBS","JarSWCorrection","JarpHSW","Sal1","Sal2","Sal3","SalMean","JarSalinity","JarTemp","mV.x","VINDTATemp","JarDICraw","JarDICCorr","JarDICFromAT","JarATraw","JarATCorr","JarpHNBSout_DICAT","JarpCO2_DICAT","JarHCO3_DICAT","JarCO3_DICAT","JarCO2_DICAT","JarSatCalc_DICAT","JarSatArag_DICAT","JarATCalc_NBS","JarpCO2_NBS","JarHCO3_NBS","JarCO3_NBS","JarCO2_NBS","JarSatCalcite_NBS","JarSatArg_NBS","JarATCalc_SW","JarpCO2_SW","JarHCO3_SW","JarCO3_SW","JarCO2_SW","JarSatCalcite_SW","JarSatArg_SW","AbnormalCount","FertNormalCount","FertVolumemL","LarvaePermL","mLFor995Zygotes","mLJarActual","PercentFert","PropAbnormal","SedgewickAreauL","TotalLarvaeMethylation75mL","TotalLarvaeMethylationRemaining","TotalmL","UnfertCount","DateCross","LarvaeDNAAgeHours","AccTankOrder","AdultDateAcclimation","AdultDateCollected","AdultDateExposed","AdultLength","AdultTotalWeight","AdultWidth","TrtTankOrder","DateSampGonadMantle","Date","mV_1","mV_2","mV_3","mV_mean","salinity_1","salinity_2","salinity_3","sal_mean","pH_batch","pH_meas","NBScorr","pHNBS","Swcorr","pHSW","salinity_batch","Salinity","temperature","mV.y","VindtaTemp","DIC_raw","DIC_corr","DIC_fromAlk","Alk_raw","Alk_corr","AT_Calc_NBS","pCO2_NBS","HCO3_NBS","CO3_NBS","CO2_NBS","SatCalcite_NBS","SatArag_NBS","AT_Calc_SW","pCO2_SW","HCO3_SW","CO3_SW","CO2_SW","SatCalcite_SW","SatArag_SW","pCO2_ATDIC","HCO3_ATDIC","CO3_ATDIC","CO2_ATDIC","SatCalcite_ATDIC","SatArag_ATDIC","EggDiamum","DateCount","Filter100um1","Filter100um2","Filter10um1","Filter10um2","Filter20um1","Filter20um2","Filter20um3","Filter20umPercDiff","NumPhotos","NumSWR","PercentAbnormal","SWRAbnormal","SWRD","SWRFacingAway","SWRFacingAwayAbnormal","SWRRound","SWRTotal","SWRUnsure","Total1mL","TotalLarvae","OrigTotalLarvae","GrowthPerDay","MajMinRat","PerimDiamRat","fit","upr","lwr"
"1","J003_B1","2600","EF02_B1","EM04_B1","2",49474.9,2972.1080834,1.0145691506,268.02746722,65.693006672,0.4721024657,0.7622259352,0.8741096621,10,267.67473422,113.97431369,40.628566378,36.068194512,230.45442837,234.50576984,841.3452,206.21205882,4.08,0.9889249001,20180713,-33,-34,-34,-33.66666667,6.977186312,0.1373629,7.114549212,0.0537507,7.030937012,NA,NA,NA,NA,19.90766667,19.08,NA,NA,NA,1361.640356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247.263672,3491.000264,1228.849034,7.203415813,125.5879537,0.190332996,0.116396105,1265.086914,3047.537217,1243.555622,8.450311421,109.6344698,0.223279224,0.136544018,2,162,25,810,1.228395062,1.2,0.947368421,0.012195122,200,60750,14418,7.37037037,7,20180710,77,1,20180607,20180605,20180615,3.82,160.69,2.7,2,20180710,20180642.3333333,-40.25,-40,-40.0833333333333,-40.1111111108333,19.8666666666667,19.85,19.8416666666667,19.8527777766667,11.75,7.125051127,0.136785779416667,7.2618369065,0.0535248701666667,7.17857599725,11.75,19.8240260075,19.3083333333333,178.816666666667,24.5973333333333,1732.86666666667,1740.48930566667,1722.50967033333,1655.51,1661.34709733333,1647.291789,3161.67347933333,1612.87120666667,14.18245589,113.43560864,0.375169123666667,0.229422980666667,1665.572225,2745.56374533333,1625.39363766667,16.5881647066667,98.5074693733333,0.438807478666667,0.268338717333333,2827.276748,1623.506054,15.6412754333333,101.341942083333,0.413731549,0.252966509,61.7525536620833,20180720,0,0,0,0,460,446,NA,0.030434783,26,1,NA,9,30,0,0,0,39,0,39,492,492,1.31348433663889,1.14084716833403,3.14118071927501,65.6638631945991,69.3778242905234,61.7656997561253
"2","J004_B1","2600","EF02_B1","EM04_B1","2",304264.8,3848.1571935,1.0192525228,666.70489672,74.97805856,0.516443123,0.7737335818,0.873546463,6.4,673.49092334,278.88846689,100.4052752,89.165674914,561.24281931,575.70150835,2090.9666,235.1514395,8.892,0.9930115774,20180713,-71,-72,-72,-71.66666667,7.627376426,0.1379609,7.765337326,0.0539847,7.681361126,NA,NA,NA,NA,19.99433333,19.1,NA,NA,NA,1295.708086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1317.570557,783.4159168,1235.031798,32.52256244,28.1537599,0.85886302,0.525524652,1329.114258,675.7472553,1233.794694,37.62897383,24.28445169,0.993714261,0.608037987,2,162,25,810,1.228395062,1.2,0.947368421,0.012195122,200,60750,14418,7.37037037,7,20180710,77,1,20180607,20180605,20180615,3.82,160.69,2.7,2,20180710,20180642.3333333,-40.25,-40,-40.0833333333333,-40.1111111108333,19.8666666666667,19.85,19.8416666666667,19.8527777766667,11.75,7.125051127,0.136785779416667,7.2618369065,0.0535248701666667,7.17857599725,11.75,19.8240260075,19.3083333333333,178.816666666667,24.5973333333333,1732.86666666667,1740.48930566667,1722.50967033333,1655.51,1661.34709733333,1647.291789,3161.67347933333,1612.87120666667,14.18245589,113.43560864,0.375169123666667,0.229422980666667,1665.572225,2745.56374533333,1625.39363766667,16.5881647066667,98.5074693733333,0.438807478666667,0.268338717333333,2827.276748,1623.506054,15.6412754333333,101.341942083333,0.413731549,0.252966509,61.7525536620833,20180823,4,4,1,0,73,75,NA,-0.02739726,30,1,NA,4,425,0,0,0,429,0,429,507.5,507,4.40850163263889,1.17083245118495,3.1366116199475,74.7167964668932,78.8594562436013,70.4363059121326
"3","J005_B1","400","CF01_B1","CM01_B1","2",219360.6,2774.3402158,1.0130037463,561.54306195,63.151491447,0.4621232458,0.7693823146,0.8785794124,8,561.49342808,238.90900786,85.575092814,75.905737922,483.46074163,495.18619587,1767.3028,198.7520018,8.892,0.9928821127,20180713,-31,-31,-31,-31,6.931558935,0.1373629,7.068921835,0.0537507,6.985309635,NA,NA,NA,NA,19.90766667,19.08,NA,NA,NA,1361.640356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1233.498657,3840.511228,1217.056085,6.422785921,138.1615325,0.169706722,0.103782329,1252.564331,3357.272144,1233.31836,7.544928842,120.7771145,0.199356659,0.12191443,20,125,25,925.9259259,1.0746,1.1,0.844594595,0.137931034,135,69444,17037,6.4476,3,20180710,8.3,3,20180607,20180605,20180615,3.68,114.84,2.68,3,20180710,20180642.3333333,-72.75,-72.5833333333333,-72.6666666666667,-72.6666666666667,19.8416666666667,19.8333333333333,19.8333333333333,19.8361111108333,11.75,7.68313138491667,0.136706730083333,7.819838115,0.0534939378333333,7.73662532275,11.75,19.8125695816667,19.4083333333333,144.6,24.9820005,1411.015,1420.959411,1423.0474765,1478.905,1482.7135055,1456.826355,736.7055159,1352.6700065,41.98666075,26.30275578,1.1111097025,0.6794602095,1470.2041015,632.6716656,1349.709504,48.661115435,22.58880312,1.287744928,0.787475919,550.90559435,1345.9886555,55.28778062,19.682986465,1.463297898,0.8948474405,64.8500303946875,20180714,0,0,1,1,263,270,249,-0.02661597,28,1,NA,4,98,0,0,0,102,0,102,369.5,368.5,-0.56617964922917,1.13311683784776,3.14901149846423,63.6194983823922,67.5981790582741,59.9216128280078
"4","J006_B1","400","CF01_B1","CM01_B1","2",311759.3,3942.9430974,1.0171028276,676.01475015,76.025050625,0.507448889,0.7666855531,0.8759032069,7.2,678.86109442,284.67433858,101.84976032,90.373925821,573.73232952,584.85167316,2114.0254,237.74464688,8.892,0.9928297875,20180713,-72,-71,-71,-71.33333333,7.621673004,0.1379609,7.759633904,0.0539847,7.675657704,NA,NA,NA,NA,19.99433333,19.1,NA,NA,NA,1295.708086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1316.55957,793.8039334,1235.0815,32.09954345,28.52707594,0.847691841,0.518689185,1328.060181,684.7701149,1233.956514,37.14289756,24.60870783,0.980877852,0.600183591,20,125,25,925.9259259,1.0746,1.1,0.844594595,0.137931034,135,69444,17037,6.4476,3,20180710,8.3,3,20180607,20180605,20180615,3.68,114.84,2.68,3,20180710,20180642.3333333,-72.75,-72.5833333333333,-72.6666666666667,-72.6666666666667,19.8416666666667,19.8333333333333,19.8333333333333,19.8361111108333,11.75,7.68313138491667,0.136706730083333,7.819838115,0.0534939378333333,7.73662532275,11.75,19.8125695816667,19.4083333333333,144.6,24.9820005,1411.015,1420.959411,1423.0474765,1478.905,1482.7135055,1456.826355,736.7055159,1352.6700065,41.98666075,26.30275578,1.1111097025,0.6794602095,1470.2041015,632.6716656,1349.709504,48.661115435,22.58880312,1.287744928,0.787475919,550.90559435,1345.9886555,55.28778062,19.682986465,1.463297898,0.8948474405,64.8500303946875,20180823,3,3,1,0,34,36,NA,-0.058823529,30,1,NA,0,509,0,0,0,509,0,509,547.5,547,3.7250067434375,1.16106219105729,3.12695169980421,75.5583579527272,79.3925187649389,71.9257999078001
"5","J007_B1","2600","EF03_B1","EM05_B1","2",211971,2680.8810237,1.0166957364,561.74440113,63.17413418,0.5042723744,0.7904727167,0.8784253762,9.9,559.3486369,235.81854355,84.018031483,74.550481547,476.23779733,481.27787339,1738.6372,195.52825011,8.892,0.9927164426,20180713,-32,-32,-31,-31.66666667,6.942965779,0.1373629,7.080328679,0.0537507,6.996716479,NA,NA,NA,NA,19.90766667,19.08,NA,NA,NA,1361.640356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1237.028687,3750.347433,1220.112221,6.61027235,134.9179101,0.174660602,0.106811821,1255.773438,3277.292451,1235.978111,7.7624294,117.8998629,0.20510359,0.125428904,10,108,25,720,1.381944444,1.4,0.818181818,0.084745763,150,54000,11952,8.291666667,14,20180710,76.7,1,20180607,20180605,20180615,2.25,43.08,2.2,2,20180710,20180642.3333333,-40.25,-40,-40.0833333333333,-40.1111111108333,19.8666666666667,19.85,19.8416666666667,19.8527777766667,11.75,7.125051127,0.136785779416667,7.2618369065,0.0535248701666667,7.17857599725,11.75,19.8240260075,19.3083333333333,178.816666666667,24.5973333333333,1732.86666666667,1740.48930566667,1722.50967033333,1655.51,1661.34709733333,1647.291789,3161.67347933333,1612.87120666667,14.18245589,113.43560864,0.375169123666667,0.229422980666667,1665.572225,2745.56374533333,1625.39363766667,16.5881647066667,98.5074693733333,0.438807478666667,0.268338717333333,2827.276748,1623.506054,15.6412754333333,101.341942083333,0.413731549,0.252966509,62.4215476514815,20180821,9,6,0,0,460,461,362,-0.002173913,30,1,NA,7,549,0,0,0,556,0,556,1024,1024,0.250862176172839,1.16221837361317,3.09644720594144,63.7193779377376,67.9086308033211,59.9676263301105
"6","J008_B1","2600","EF03_B1","EM05_B1","2",285685.6,3613.1787074,1.0149012697,643.77473722,72.399318176,0.4872170183,0.7701311953,0.8761821274,7.5,645.68694737,273.89808509,97.71930669,86.624622523,550.95151868,562.38568599,2022.1132,227.40814215,8.892,0.9935974173,20180713,-70,-70,-70,-70,7.598859316,0.1379609,7.736820216,0.0539847,7.652844016,NA,NA,NA,NA,19.99433333,19.1,NA,NA,NA,1295.708086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1312.544189,836.684338,1235.180721,30.45932241,30.06807682,0.804376521,0.492185228,1323.888062,722.0226412,1234.502935,35.25772658,25.94745862,0.93109384,0.569721544,10,108,25,720,1.381944444,1.4,0.818181818,0.084745763,150,54000,11952,8.291666667,14,20180710,76.7,1,20180607,20180605,20180615,2.25,43.08,2.2,2,20180710,20180642.3333333,-40.25,-40,-40.0833333333333,-40.1111111108333,19.8666666666667,19.85,19.8416666666667,19.8527777766667,11.75,7.125051127,0.136785779416667,7.2618369065,0.0535248701666667,7.17857599725,11.75,19.8240260075,19.3083333333333,178.816666666667,24.5973333333333,1732.86666666667,1740.48930566667,1722.50967033333,1655.51,1661.34709733333,1647.291789,3161.67347933333,1612.87120666667,14.18245589,113.43560864,0.375169123666667,0.229422980666667,1665.572225,2745.56374533333,1625.39363766667,16.5881647066667,98.5074693733333,0.438807478666667,0.268338717333333,2827.276748,1623.506054,15.6412754333333,101.341942083333,0.413731549,0.252966509,62.4215476514815,20180821,0,0,0,0,772,779,971,-0.009067358,30,1,NA,5,169,0,0,0,174,0,174,949.5,949.5,3.32592350817284,1.14795350308579,3.14204251330177,72.6448612886458,76.4632425573333,68.5298080013419
"7","J009_B1","2600","EF04_B1","EM04_B1","2",246745.8,3120.6916646,1.0138197216,598.99359372,67.363202172,0.4437015803,0.7783701483,0.8801641354,12,595.87218257,254.59497866,90.786071698,80.477845197,516.73207375,524.93845814,1872.3242,210.56277551,8.892,0.9928282378,20180713,-32,-31,-31,-31.33333333,6.937262357,0.1373629,7.074625257,0.0537507,6.991013057,NA,NA,NA,NA,19.90766667,19.08,NA,NA,NA,1361.640356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235.271362,3795.191843,1218.593314,6.515911097,136.5311778,0.172167332,0.105287088,1254.175659,3317.06519,1234.656759,7.652965786,119.3306783,0.202211277,0.123660141,7,119,25,793.3333333,1.254201681,1.3,0.9296875,0.055555556,150,59500,13645,7.525210084,2,20180710,8.5,2,20180607,20180605,20180615,3.8,90.76,3.08,2,20180710,20180642.3333333,-40.25,-40,-40.0833333333333,-40.1111111108333,19.8666666666667,19.85,19.8416666666667,19.8527777766667,11.75,7.125051127,0.136785779416667,7.2618369065,0.0535248701666667,7.17857599725,11.75,19.8240260075,19.3083333333333,178.816666666667,24.5973333333333,1732.86666666667,1740.48930566667,1722.50967033333,1655.51,1661.34709733333,1647.291789,3161.67347933333,1612.87120666667,14.18245589,113.43560864,0.375169123666667,0.229422980666667,1665.572225,2745.56374533333,1625.39363766667,16.5881647066667,98.5074693733333,0.438807478666667,0.268338717333333,2827.276748,1623.506054,15.6412754333333,101.341942083333,0.413731549,0.252966509,65.0489455089655,20180824,0,0,2,2,418,421,389,-0.007177033,30,1,NA,9,905,0,0,0,914,0,914,1335.5,1333.5,0.771418887678161,1.13343814871001,3.1304649654382,67.1576659860098,71.0000528078636,63.4990501481731
"8","J010_B1","2600","EF04_B1","EM04_B1","2",296129.2,3745.2630445,1.015354151,661.43554048,74.38546339,0.4932269661,0.7778866031,0.8783246483,8.9,658.87370034,279.32627606,99.49927215,88.216879532,564.21295749,571.59182862,2056.8488,231.31452993,8.892,0.9929689209,20180713,-70,-70,-70,-70,7.598859316,0.1379609,7.736820216,0.0539847,7.652844016,NA,NA,NA,NA,19.99433333,19.1,NA,NA,NA,1295.708086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1312.544189,836.684338,1235.180721,30.45932241,30.06807682,0.804376521,0.492185228,1323.888062,722.0226412,1234.502935,35.25772658,25.94745862,0.93109384,0.569721544,7,119,25,793.3333333,1.254201681,1.3,0.9296875,0.055555556,150,59500,13645,7.525210084,2,20180710,8.5,2,20180607,20180605,20180615,3.8,90.76,3.08,2,20180710,20180642.3333333,-40.25,-40,-40.0833333333333,-40.1111111108333,19.8666666666667,19.85,19.8416666666667,19.8527777766667,11.75,7.125051127,0.136785779416667,7.2618369065,0.0535248701666667,7.17857599725,11.75,19.8240260075,19.3083333333333,178.816666666667,24.5973333333333,1732.86666666667,1740.48930566667,1722.50967033333,1655.51,1661.34709733333,1647.291789,3161.67347933333,1612.87120666667,14.18245589,113.43560864,0.375169123666667,0.229422980666667,1665.572225,2745.56374533333,1625.39363766667,16.5881647066667,98.5074693733333,0.438807478666667,0.268338717333333,2827.276748,1623.506054,15.6412754333333,101.341942083333,0.413731549,0.252966509,65.0489455089655,20180827,4,5,1,1,295,309,335,-0.047457627,30,1,NA,4,1434,0,0,0,1438,0,1438,1745.5,1744.5,3.11217262701149,1.15293388829574,3.11086961479734,74.6204142802947,78.1710645099918,70.9784753389279
"9","J011_B1","400","CF01_B1","CM03_B1","2",301177.1,3809.1058314,1.0165295481,662.58583462,74.514826206,0.4970904154,0.7735134538,0.8706993542,5.5,665.49937584,281.13194335,100.224437242,88.869610586,566.61345643,576.19350741,2083.6304,234.32640577,8.892,0.9925260396,20180713,-72,-71,-71,-71.33333333,7.621673004,0.1379609,7.759633904,0.0539847,7.675657704,NA,NA,NA,NA,19.99433333,19.1,NA,NA,NA,1295.708086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1316.55957,793.8039334,1235.0815,32.09954345,28.52707594,0.847691841,0.518689185,1328.060181,684.7701149,1233.956514,37.14289756,24.60870783,0.980877852,0.600183591,14,111,25,740,1.344594595,1.4,0.880952381,0.112,150,55500,12284,8.067567568,1,20180710,76.4,3,20180607,20180605,20180615,3.68,114.84,2.68,3,20180710,20180642.3333333,-72.75,-72.5833333333333,-72.6666666666667,-72.6666666666667,19.8416666666667,19.8333333333333,19.8333333333333,19.8361111108333,11.75,7.68313138491667,0.136706730083333,7.819838115,0.0534939378333333,7.73662532275,11.75,19.8125695816667,19.4083333333333,144.6,24.9820005,1411.015,1420.959411,1423.0474765,1478.905,1482.7135055,1456.826355,736.7055159,1352.6700065,41.98666075,26.30275578,1.1111097025,0.6794602095,1470.2041015,632.6716656,1349.709504,48.661115435,22.58880312,1.287744928,0.787475919,550.90559435,1345.9886555,55.28778062,19.682986465,1.463297898,0.8948474405,64.8500303946875,20180827,2,1,2,3,205,201,NA,0.019512195,30,1,NA,3,650,0,0,0,653,0,653,860,857.5,3.22159860377083,1.15535560028469,3.14527524904029,74.4616511520681,78.4001975555796,70.4348056164082
"10","J012_B1","400","CF01_B1","CM03_B1","2",225973.6,2857.9774405,1.0159312724,578.56674729,65.065985975,0.498923968,0.7888571041,0.8788382692,11.1,577.10558632,242.75729084,86.917350807,77.149444793,490.33041055,498.31444933,1797.1548,202.10917679,8.892,0.9932189435,20180713,-33,-32,-32,-32.33333333,6.954372624,0.1373629,7.091735524,0.0537507,7.008123324,NA,NA,NA,NA,19.90766667,19.08,NA,NA,NA,1361.640356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240.498779,3662.06103,1223.095793,6.802783799,131.7418265,0.179747255,0.109922509,1258.929443,3199.02767,1238.570367,7.985730984,115.084305,0.211003799,0.129037114,14,111,25,740,1.344594595,1.4,0.880952381,0.112,150,55500,12284,8.067567568,1,20180710,76.4,3,20180607,20180605,20180615,3.68,114.84,2.68,3,20180710,20180642.3333333,-72.75,-72.5833333333333,-72.6666666666667,-72.6666666666667,19.8416666666667,19.8333333333333,19.8333333333333,19.8361111108333,11.75,7.68313138491667,0.136706730083333,7.819838115,0.0534939378333333,7.73662532275,11.75,19.8125695816667,19.4083333333333,144.6,24.9820005,1411.015,1420.959411,1423.0474765,1478.905,1482.7135055,1456.826355,736.7055159,1352.6700065,41.98666075,26.30275578,1.1111097025,0.6794602095,1470.2041015,632.6716656,1349.709504,48.661115435,22.58880312,1.287744928,0.787475919,550.90559435,1345.9886555,55.28778062,19.682986465,1.463297898,0.8948474405,64.8500303946875,20180827,1,1,0,0,396,406,NA,-0.025252525,30,1,NA,6,110,0,0,0,116,0,116,518,518,0.0719851934374975,1.1586887987053,3.1067522930161,64.8732343950753,69.0074255656804,61.1720859552843
